Plot,Site,Zone,Collar,Date,HydraGO_Notes
GCW_WC_1_202310,GCW,WC,1,202310,sent to zoe
GCW_WC_2_202310,GCW,WC,2,202310,sent to zoe
GCW_WC_3_202310,GCW,WC,3,202310,sent to zoe
GCW_WC_4_202306,GCW,WC,4,202306,Not sure how we can have the other ones but not this one… 
GCW_WC_4_202307,GCW,WC,4,202307,Not sure how we can have the other ones but not this one… It is not listed in the file
GCW_WC_4_202310,GCW,WC,4,202310,sent to zoe
GCW_WC_5_202310,GCW,WC,5,202310,sent to zoe
GWI_TR_1_202304,GWI,TR,1,202304,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_1_202305,GWI,TR,1,202305,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_1_202307,GWI,TR,1,202307,"Steph should have these data, still looking for it, taken on 07/20/23"
GWI_TR_1_202310,GWI,TR,1,202310,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_1_202311,GWI,TR,1,202311,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_2_202304,GWI,TR,2,202304,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_2_202305,GWI,TR,2,202305,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_2_202307,GWI,TR,2,202307,"Steph should have these data, still looking for it, taken on 07/20/23"
GWI_TR_2_202310,GWI,TR,2,202310,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_2_202311,GWI,TR,2,202311,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_3_202304,GWI,TR,3,202304,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_3_202305,GWI,TR,3,202305,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_3_202307,GWI,TR,3,202307,"Steph should have these data, still looking for it, taken on 07/20/23"
GWI_TR_3_202310,GWI,TR,3,202310,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_3_202311,GWI,TR,3,202311,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_4_202304,GWI,TR,4,202304,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_4_202305,GWI,TR,4,202305,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_4_202307,GWI,TR,4,202307,"Steph should have these data, still looking for it, taken on 07/20/23"
GWI_TR_4_202310,GWI,TR,4,202310,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_4_202311,GWI,TR,4,202311,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_5_202304,GWI,TR,5,202304,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_5_202305,GWI,TR,5,202305,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_5_202307,GWI,TR,5,202307,"Steph should have these data, still looking for it, taken on 07/20/23"
GWI_TR_5_202310,GWI,TR,5,202310,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_TR_5_202311,GWI,TR,5,202311,Have data from that day but looks like the collar measurements weren't taken / were forgotten
GWI_WC_1_202307,GWI,WC,1,202307,"Steph should have these data, still looking for it, taken on 07/20/23"
GWI_WC_2_202307,GWI,WC,2,202307,"Steph should have these data, still looking for it, taken on 07/20/23"
GWI_WC_3_202307,GWI,WC,3,202307,"Steph should have these data, still looking for it, taken on 07/20/23"
GWI_WC_4_202307,GWI,WC,4,202307,"Steph should have these data, still looking for it, taken on 07/20/23"
GWI_WC_5_202307,GWI,WC,5,202307,"Steph should have these data, still looking for it, taken on 07/20/23"
MSM_WC_1_202304,MSM,WC,1,202304,"would either be steph or Alice who had these data - have email from Alice, but no attached file "
MSM_WC_2_202304,MSM,WC,2,202304,"would either be steph or Alice who had these data - have email from Alice, but no attached file "
MSM_WC_2_202306,MSM,WC,2,202306,sent to zoe
MSM_WC_3_202304,MSM,WC,3,202304,"would either be steph or Alice who had these data - have email from Alice, but no attached file "
MSM_WC_4_202304,MSM,WC,4,202304,"would either be steph or Alice who had these data - have email from Alice, but no attached file "
MSM_WC_5_202304,MSM,WC,5,202304,"would either be steph or Alice who had these data - have email from Alice, but no attached file "
SWH_WC_1_202307,SWH,WC,1,202307,sent to zoe
SWH_WC_1_202308,SWH,WC,1,202308,sent to zoe
SWH_WC_1_202309,SWH,WC,1,202309,sent to zoe
