Model:	LI-7810
SN:	TG10-01087
Software Version:	2.3.8
Timestamp:	2025-07-15 09:18:01
Timezone:	US/Eastern
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1752585481	575064897	0	256	""	2025-07-15	09:18:01	nan	nan	nan	101.766	25.0683	102.054	25.1854	0	0	25.0493	0	0	16.4845	 64
DATA	1752585481	975044012	0	256	""	2025-07-15	09:18:01	nan	nan	nan	101.768	25.0677	102.052	25.1854	0	0	25.0493	0	0	16.486	253
DATA	1752585482	975006103	17	256	""	2025-07-15	09:18:02	nan	nan	nan	101.735	25.0683	102.024	26.9293	0	0	25.0493	-12000	0	16.4593	 85
DATA	1752585483	974965095	21	256	""	2025-07-15	09:18:03	nan	nan	nan	101.732	25.0683	102.011	35.6013	0	0	25.0492	-16000	0	16.4425	 82
DATA	1752585484	974932909	25	256	""	2025-07-15	09:18:04	nan	nan	nan	101.756	25.0683	102.04	36.961	0	0	25.0493	-16000	0	16.4499	 17
DATA	1752585485	974884033	29	256	""	2025-07-15	09:18:05	nan	nan	nan	101.729	25.0683	102.013	37.2208	0	0	25.0497	-16000	0	16.4507	104
DATA	1752585486	974874019	33	256	""	2025-07-15	09:18:06	nan	nan	nan	101.734	25.0683	102.025	37.3214	0	0	25.0507	-16000	0	16.4519	 96
DATA	1752585487	974874019	37	256	""	2025-07-15	09:18:07	nan	nan	nan	101.767	25.0683	102.05	37.3775	0	0	25.051	-16000	0	16.2369	 17
DATA	1752585488	974874019	41	256	""	2025-07-15	09:18:08	nan	nan	nan	101.741	25.0694	102.024	37.4053	0	0	25.0519	-16000	0	16.0129	 96
DATA	1752585489	974874019	45	256	""	2025-07-15	09:18:09	nan	nan	nan	101.745	25.0736	102.027	37.4069	0	0	25.0563	-16000	0	16.0062	108
DATA	1752585490	974874019	49	256	""	2025-07-15	09:18:10	nan	nan	nan	101.731	25.0802	102.015	37.4035	0	0	25.0661	-16000	0	16.0011	 68
DATA	1752585491	974874019	53	256	""	2025-07-15	09:18:11	nan	nan	nan	101.729	25.089	102.012	37.4023	0	0	25.0804	-16000	0	15.9921	 42
DATA	1752585492	974874019	57	256	""	2025-07-15	09:18:12	nan	nan	nan	101.727	25.1007	102.011	37.4012	0	0	25.0966	-16000	0	15.9874	 98
