Model:	LI-7810
SN:	TG10-01286
Software Version:	2.1.41
Timestamp:	2025-05-21 08:25:55
Timezone:	US/Eastern
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1747830355	39623975	28	256	""	2025-05-21	08:25:55	nan	nan	nan	99.8074	20.6001	99.888	25.4977	0	0	20.5471	-12000	0	14.5039	 31
DATA	1747830356	39587020	32	256	""	2025-05-21	08:25:56	nan	nan	nan	100.223	20.6001	100.313	34.0082	0	0	20.5469	-16000	0	14.498	209
DATA	1747830357	39546012	36	256	""	2025-05-21	08:25:57	nan	nan	nan	100.45	20.6001	100.497	40.8679	0	0	20.5465	-16000	0	14.4988	247
DATA	1747830358	39498090	40	256	""	2025-05-21	08:25:58	nan	nan	nan	100.501	20.6001	100.532	45.3362	0	0	20.5464	-16000	0	14.5028	  9
DATA	1747830359	39494037	44	256	""	2025-05-21	08:25:59	nan	nan	nan	100.51	20.6001	100.538	46.048	0	0	20.5464	-16000	0	14.5063	176
DATA	1747830360	39494037	48	256	""	2025-05-21	08:26:00	nan	nan	nan	100.512	20.6001	100.539	46.1816	0	0	20.5464	-16000	0	14.5082	  7
DATA	1747830361	39494037	52	256	""	2025-05-21	08:26:01	nan	nan	nan	100.511	20.6001	100.54	46.2423	0	0	20.5464	-16000	0	14.5079	204
DATA	1747830362	39494037	56	256	""	2025-05-21	08:26:02	nan	nan	nan	100.511	20.6001	100.539	46.2772	0	0	20.5464	-16000	0	14.5082	 11
DATA	1747830363	39494037	60	256	""	2025-05-21	08:26:03	nan	nan	nan	100.512	20.5995	100.539	46.301	0	0	20.5464	-16000	0	14.5079	230
DATA	1747830364	39494037	64	256	""	2025-05-21	08:26:04	nan	nan	nan	100.512	20.5994	100.539	46.317	0	0	20.5464	-16000	0	14.5071	234
DATA	1747830365	39494037	68	256	""	2025-05-21	08:26:05	nan	nan	nan	100.512	20.5994	100.539	46.3292	0	0	20.5464	-16000	0	14.5067	 42
DATA	1747830366	39179086	72	256	""	2025-05-21	08:26:06	nan	nan	nan	100.512	20.5994	100.538	46.3367	0	0	20.5464	-16000	0	14.5063	 41
DATA	1747830367	39179086	76	256	""	2025-05-21	08:26:07	nan	nan	nan	100.512	20.5994	100.538	46.3438	0	0	20.5464	-16000	0	14.5067	 50
DATA	1747830368	39179086	80	256	""	2025-05-21	08:26:08	nan	nan	nan	100.513	20.5988	100.539	46.3491	0	0	20.5464	-16000	0	14.5063	 47
DATA	1747830369	39179086	84	256	""	2025-05-21	08:26:09	nan	nan	nan	100.513	20.5987	100.538	46.3526	0	0	20.5464	-16000	0	14.5063	 50
DATA	1747830370	39179086	88	256	""	2025-05-21	08:26:10	nan	nan	nan	100.513	20.5987	100.538	46.3557	0	0	20.5464	-16000	0	14.5063	 42
DATA	1747830371	39179086	92	256	""	2025-05-21	08:26:11	nan	nan	nan	100.512	20.5987	100.539	46.3574	0	0	20.5464	-16000	0	14.5059	 43
DATA	1747830372	39179086	96	256	""	2025-05-21	08:26:12	nan	nan	nan	100.513	20.5987	100.539	46.3591	0	0	20.5464	-16000	0	14.5059	 49
DATA	1747830373	39179086	100	256	""	2025-05-21	08:26:13	nan	nan	nan	100.514	20.5979	100.538	46.3605	0	0	20.5464	-16000	0	14.5063	 77
DATA	1747830374	38872003	104	256	""	2025-05-21	08:26:14	nan	nan	nan	100.513	20.5979	100.538	46.3616	0	0	20.5464	-16000	0	14.5051	 69
DATA	1747830375	38872003	108	256	""	2025-05-21	08:26:15	nan	nan	nan	100.51	20.5979	100.537	46.3627	0	0	20.5464	-16000	0	14.4969	 42
DATA	1747830376	38872003	112	256	""	2025-05-21	08:26:16	nan	nan	nan	100.513	20.5979	100.538	46.3635	0	0	20.5464	-16000	0	14.4973	 85
DATA	1747830377	38872003	116	256	""	2025-05-21	08:26:17	nan	nan	nan	100.514	20.5979	100.538	46.3644	0	0	20.5464	-16000	0	14.498	 42
DATA	1747830378	38872003	120	256	""	2025-05-21	08:26:18	nan	nan	nan	100.515	20.5974	100.539	46.3651	0	0	20.5464	-16000	0	14.498	 34
DATA	1747830379	38872003	124	256	""	2025-05-21	08:26:19	nan	nan	nan	100.515	20.5972	100.539	46.3657	0	0	20.5464	-16000	0	14.498	 44
DATA	1747830380	38872003	128	256	""	2025-05-21	08:26:20	nan	nan	nan	100.515	20.5972	100.539	46.3663	0	0	20.5464	-16000	0	14.4973	 79
DATA	1747830381	38561105	132	256	""	2025-05-21	08:26:21	nan	nan	nan	100.515	20.5972	100.54	46.3666	0	0	20.5464	-16000	0	14.4965	 22
DATA	1747830382	38561105	136	256	""	2025-05-21	08:26:22	nan	nan	nan	100.515	20.5972	100.539	46.3672	0	0	20.5464	-16000	0	14.4949	 83
DATA	1747830383	38561105	140	256	""	2025-05-21	08:26:23	nan	nan	nan	100.515	20.5967	100.54	46.3675	0	0	20.5464	-16000	0	14.4969	 33
DATA	1747830384	38561105	144	256	""	2025-05-21	08:26:24	nan	nan	nan	100.517	20.5965	100.539	46.3679	0	0	20.5464	-16000	0	14.4969	 99
DATA	1747830385	38561105	148	256	""	2025-05-21	08:26:25	nan	nan	nan	100.517	20.5965	100.54	46.3685	0	0	20.5464	-16000	0	14.4969	 46
DATA	1747830386	38561105	152	256	""	2025-05-21	08:26:26	nan	nan	nan	100.516	20.5965	100.539	46.3687	0	0	20.5464	-16000	0	14.4953	 93
DATA	1747830387	38561105	156	256	""	2025-05-21	08:26:27	nan	nan	nan	100.517	20.5963	100.54	46.3694	0	0	20.5464	-16000	0	14.4937	 42
DATA	1747830388	38561105	160	256	""	2025-05-21	08:26:28	nan	nan	nan	100.516	20.5958	100.541	46.3694	0	0	20.5464	-16000	0	14.4933	 87
DATA	1747830389	38249969	164	256	""	2025-05-21	08:26:29	nan	nan	nan	100.516	20.5958	100.541	46.3701	0	0	20.5464	-16000	0	14.4929	108
DATA	1747830390	38249969	168	256	""	2025-05-21	08:26:30	nan	nan	nan	100.517	20.5958	100.54	46.3701	0	0	20.5464	-16000	0	14.3866	 47
DATA	1747830391	38249969	172	256	""	2025-05-21	08:26:31	nan	nan	nan	100.516	20.596	100.54	46.3709	0	0	20.5464	-16000	0	14.07	140
DATA	1747830392	38249969	176	256	""	2025-05-21	08:26:32	nan	nan	nan	100.518	20.5976	100.542	46.3709	0	0	20.548	-16000	0	14.0669	 57
DATA	1747830393	38249969	180	256	""	2025-05-21	08:26:33	nan	nan	nan	100.518	20.6026	100.54	46.3709	0	0	20.5566	-16000	0	14.0626	 37
DATA	1747830394	38249969	184	256	""	2025-05-21	08:26:34	nan	nan	nan	100.518	20.6112	100.541	46.3716	0	0	20.5709	-16000	0	14.059	 37
DATA	1747830395	38249969	188	256	""	2025-05-21	08:26:35	nan	nan	nan	100.518	20.6226	100.54	46.3716	0	0	20.5879	-16000	0	14.0543	 54
DATA	1747830396	37931919	192	256	""	2025-05-21	08:26:36	nan	nan	nan	100.519	20.6378	100.541	46.372	0	0	20.6065	-16000	0	14.0524	 35
DATA	1747830397	37931919	196	256	""	2025-05-21	08:26:37	nan	nan	nan	100.518	20.6552	100.54	46.3723	0	0	20.626	-16000	0	14.0484	246
DATA	1747830398	37931919	200	256	""	2025-05-21	08:26:38	nan	nan	nan	100.518	20.6745	100.54	46.3723	0	0	20.6459	-16000	0	14.0461	 35
DATA	1747830399	37931919	204	256	""	2025-05-21	08:26:39	nan	nan	nan	100.518	20.6954	100.538	46.3731	0	0	20.6665	-16000	0	14.0429	100
DATA	1747830400	37931919	208	256	""	2025-05-21	08:26:40	nan	nan	nan	100.519	20.7154	100.539	46.3731	0	0	20.6856	-16000	0	14.0418	 74
DATA	1747830401	37931919	212	256	""	2025-05-21	08:26:41	nan	nan	nan	100.519	20.7387	100.541	46.3734	0	0	20.7067	-16000	0	14.039	 21
DATA	1747830402	37931919	216	256	""	2025-05-21	08:26:42	nan	nan	nan	100.518	20.7633	100.54	46.3738	0	0	20.7278	-16000	0	14.0371	 26
DATA	1747830403	37931919	220	256	""	2025-05-21	08:26:43	nan	nan	nan	100.519	20.7874	100.539	46.3738	0	0	20.7494	-16000	0	14.0343	 86
DATA	1747830404	37620067	224	256	""	2025-05-21	08:26:44	nan	nan	nan	100.519	20.8122	100.54	46.3746	0	0	20.7715	-16000	0	14.0323	  5
DATA	1747830405	37620067	228	256	""	2025-05-21	08:26:45	nan	nan	nan	100.519	20.8372	100.54	46.3746	0	0	20.7931	-16000	0	14.0304	 17
DATA	1747830406	37620067	232	256	""	2025-05-21	08:26:46	nan	nan	nan	100.519	20.8627	100.54	46.3751	0	0	20.8151	-16000	0	14.0284	 15
DATA	1747830407	37620067	236	256	""	2025-05-21	08:26:47	nan	nan	nan	100.519	20.888	100.54	46.3753	0	0	20.8369	-16000	0	14.0265	242
DATA	1747830408	37620067	240	256	""	2025-05-21	08:26:48	nan	nan	nan	100.519	20.9112	100.54	46.3755	0	0	20.8572	-16000	0	14.0233	 13
DATA	1747830409	37620067	244	256	""	2025-05-21	08:26:49	nan	nan	nan	100.519	20.9372	100.539	46.376	0	0	20.8795	-16000	0	14.0206	 38
DATA	1747830410	37620067	248	256	""	2025-05-21	08:26:50	nan	nan	nan	100.519	20.963	100.54	46.376	0	0	20.9018	-16000	0	14.0186	171
DATA	1747830411	37296056	252	256	""	2025-05-21	08:26:51	nan	nan	nan	100.52	20.9881	100.54	46.3766	0	0	20.9242	-16000	0	14.017	173
DATA	1747830412	37296056	256	256	""	2025-05-21	08:26:52	nan	nan	nan	100.519	21.0134	100.539	46.3768	0	0	20.9476	-16000	0	14.0155	 80
DATA	1747830413	37296056	260	256	""	2025-05-21	08:26:53	nan	nan	nan	100.519	21.0383	100.54	46.3769	0	0	20.9702	-16000	0	14.0135	 18
DATA	1747830414	37296056	264	256	""	2025-05-21	08:26:54	nan	nan	nan	100.52	21.0631	100.54	46.3775	0	0	20.9926	-16000	0	14.0123	222
