[Header]	
System	TOCL TNML ASIL 24ML	
S/W Version	1.00	
User	sjw	
Date/Time	10/21/2025 3:44:40 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	IC	DI	Untitled			1.217				mg/L	0	7/29/2024 11:39:29 AM	
Unknown	IC	DI	Untitled			1.208				mg/L	0	7/29/2024 11:50:33 AM	
Unknown	IC	Chk_Std_40mgL	Untitled			37.92				mg/L	1	7/29/2024 12:04:53 PM	
Unknown	IC	DI	Untitled			1.205				mg/L	0	7/29/2024 12:15:57 PM	
Unknown	IC	DI	Untitled			1.215				mg/L	0	7/29/2024 12:29:12 PM	
Standard	IC	CalCurve_IC	Untitled			200.0				mg/L	2, 3, 4, 5, 6, 7, 8, 9	7/29/2024 2:30:00 PM	
Unknown	IC	DI	Untitled			1.134				mg/L	0	7/29/2024 2:45:00 PM	
Unknown	IC	Chk_Std_40mgL	Untitled			38.40				mg/L	10	7/29/2024 2:59:03 PM	
Unknown	IC	DI	Untitled			1.149				mg/L	0	7/29/2024 3:12:25 PM	
Unknown	IC	202407_GCW_WC_LysA_10cm	Untitled			110.8				mg/L	11	7/29/2024 3:29:12 PM	
Unknown	IC	202407_GCW_WC_LysA_20cm	Untitled			124.9				mg/L	12	7/29/2024 3:47:04 PM	
Unknown	IC	202407_GCW_WC_LysA_45cm	Untitled			185.4				mg/L	13	7/29/2024 4:04:53 PM	
Unknown	IC	202407_GCW_WC_LysB_10cm	Untitled			119.0				mg/L	14	7/29/2024 4:22:47 PM	
Unknown	IC	202407_GCW_WC_LysB_20cm	Untitled			125.6				mg/L	15	7/29/2024 4:40:38 PM	
Unknown	IC	202407_GCW_WC_LysB_45cm	Untitled			154.4				mg/L	16	7/29/2024 4:58:24 PM	
Unknown	IC	202407_GCW_WC_LysC_10cm	Untitled			82.79				mg/L	17	7/29/2024 5:20:47 PM	
Unknown	IC	202407_GCW_WC_LysC_20cm	Untitled			86.05				mg/L	18	7/29/2024 5:43:09 PM	
Unknown	IC	202407_GCW_WC_LysC_45cm	Untitled			103.2				mg/L	19	7/29/2024 6:05:26 PM	
Unknown	IC	202407_GCW_SW_A	Untitled			21.58				mg/L	20	7/29/2024 6:23:49 PM	
Unknown	IC	202407_GCW_SW_B	Untitled			21.22				mg/L	21	7/29/2024 6:37:14 PM	
Unknown	IC	202407_GCW_SW_C	Untitled			21.24				mg/L	22	7/29/2024 6:50:35 PM	
Unknown	IC	DI	Untitled			1.192				mg/L	0	7/29/2024 7:01:52 PM	
Unknown	IC	Chk_Std_40mgL	Untitled			38.55				mg/L	23	7/29/2024 7:16:04 PM	
Unknown	IC	DI	Untitled			1.163				mg/L	0	7/29/2024 7:27:16 PM	
Unknown	IC	202407_MSM_UP_LysB_10cm	Untitled			7.437				mg/L	24	7/29/2024 7:39:26 PM	
Unknown	IC	202407_MSM_UP_LysC_10cm	Untitled			8.551				mg/L	25	7/29/2024 7:54:21 PM	
Unknown	IC	202407_MSM_UP_LysC_20cm	Untitled			11.17				mg/L	26	7/29/2024 8:12:47 PM	
Unknown	IC	202407_MSM_TR_LysA_10cm	Untitled			21.91				mg/L	27	7/29/2024 8:26:03 PM	
Unknown	IC	202407_MSM_TR_LysA_20cm	Untitled			27.92				mg/L	28	7/29/2024 8:39:20 PM	
Unknown	IC	202407_MSM_TR_LysB_10cm	Untitled			19.86				mg/L	29	7/29/2024 8:52:25 PM	
Unknown	IC	202407_MSM_TR_LysB_20cm	Untitled			38.00				mg/L	30	7/29/2024 9:06:12 PM	
Unknown	IC	202407_MSM_TR_LysC_10cm	Untitled			20.99				mg/L	31	7/29/2024 9:19:22 PM	
Unknown	IC	202407_MSM_TR_LysC_20cm	Untitled			32.99				mg/L	32	7/29/2024 9:33:03 PM	
Unknown	IC	202407_MSM_WC_LysA_10cm	Untitled			54.58				mg/L	33	7/29/2024 9:47:45 PM	
Unknown	IC	202407_MSM_WC_LysA_20cm	Untitled			103.8				mg/L	34	7/29/2024 10:10:19 PM	
