"","Site","Zone","Depth_cm","min_ic_mgL","max_ic_mgL","mean_ic_mgL","sd_ic_mgL"
"1","GCW","SW",0,2.399,46.7,19.7126181818182,6.63502752929316
"2","GCW","TR",10,2.683,45.2,17.6085238095238,12.8251827106636
"3","GCW","TR",20,4.742,92.35,36.27565625,23.7074485608452
"4","GCW","TR",45,13.74,78.38,38.1263636363636,20.0067834859716
"5","GCW","UP",10,2.523,2.83,2.6765,0.21708178182427
"6","GCW","UP",20,4.962,4.962,4.962,NA
"7","GCW","WC",10,21.9,241.3,96.236,45.1872940407729
"8","GCW","WC",20,14.19,177,101.310652173913,45.4305653547709
"9","GCW","WC",45,15.35,291.7,140.700465116279,53.4112774320309
"10","GWI","SW",0,2.951,33.41,18.6584561403509,5.31641371492292
"11","GWI","TR",10,4.647,85.88,28.5995,17.3308034712989
"12","GWI","TR",20,14.7,94.85,47.8882352941176,18.7429756491701
"13","GWI","TR",45,42.99,62.54,51.6033333333333,9.97993152949124
"14","GWI","UP",10,2.676,19.42,9.51093103448276,4.89572157917382
"15","GWI","UP",20,6.923,50.5,19.3596666666667,7.69891312242622
"16","GWI","UP",45,5.57,40.08,20.9107916666667,7.85308520363683
"17","GWI","WC",10,3.947,115.4,58.4309268292683,27.1178973718375
"18","GWI","WC",20,25.54,102.2,64.4033333333333,21.8981417422736
"19","GWI","WC",45,18.68,61.94,45.3585,11.3043788790939
"20","MSM","SW",0,1.891,27.36,18.5061818181818,4.57395886591372
"21","MSM","TR",10,9.274,62.6,26.4320434782609,11.3065841623494
"22","MSM","TR",20,20.47,89.34,41.1189473684211,11.9968743971399
"23","MSM","TR",45,26.4,74.84,47.245,18.4806609343776
"24","MSM","UP",10,3.18,32.42,15.4974571428571,8.87761694091268
"25","MSM","UP",20,3.95,38.29,21.4606153846154,9.82623848306939
"26","MSM","WC",10,20.67,162,79.9230952380952,39.6637431961757
"27","MSM","WC",20,8.132,162.6,86.2226153846154,33.5593300138688
"28","MSM","WC",45,102.3,102.3,102.3,NA
"29","SWH","SW",0,2.007,21.61,10.9481481481481,3.89248814255126
"30","SWH","SWAMP",10,2.677,43.1,16.6848958333333,8.2700271147246
"31","SWH","SWAMP",20,4.422,36.77,21.47004,8.55841836894874
"32","SWH","SWAMP",45,8.619,33.51,22.624,7.06698888894851
"33","SWH","TR",10,6.221,46.47,25.063568627451,11.3873502207579
"34","SWH","TR",20,0,86.4,39.8355555555556,13.6541962126607
"35","SWH","TR",45,25.86,102,50.3016666666667,11.8666090513406
"36","SWH","UP",10,3.023,24.28,8.25758064516129,4.71360814220694
"37","SWH","UP",20,5.006,37.56,19.4062653061224,10.1722929625354
"38","SWH","UP",45,15.5,57.48,38.5156756756757,10.0889996587429
"39","SWH","WC",10,23.77,75.8,46.9985185185185,10.7468806578767
"40","SWH","WC",20,23.93,84.1,59.0433333333333,15.5061315340582
"41","SWH","WC",45,29.68,96.22,68.7542105263158,17.8770309850966
