"","Project","Region","Site","Zone","Replicate","Depth_cm","Sample_ID","Year","Month","Day","Time","Time_Zone","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Field_notes"
"1","COMPASS: Synoptic","CB","MSM","WC","LysC","10","202209_MSM_WC_LysC_10cm",2022,9,18,NA,NA,21.04,1751.72758304887,"NPOC blanks out of range",2.254,160.92298685629,"TN blanks out of range","11/3/2022 7:21:47 PM","Standard Curve assessed manually on the instrument. Some sample IDs are missing from metadata.",""
"2","COMPASS: Synoptic","CB","MSM","WC","LysC","20","202209_MSM_WC_LysC_20cm",2022,9,18,NA,NA,38.23,3182.91566064441,"NPOC blanks out of range",3.593,256.520093955036,"TN blanks out of range; value above cal curve","11/3/2022 7:49:29 PM","Standard Curve assessed manually on the instrument. Some sample IDs are missing from metadata.",""
"3","COMPASS: Synoptic","CB","MSM","SW","A","202209","202209_MSM_SW_A",2022,9,18,NA,NA,7.672,638.747814503372,"NPOC blanks out of range",0.5888,42.0370251379697,"TN blanks out of range","11/3/2022 9:41:35 PM","Standard Curve assessed manually on the instrument. Some sample IDs are missing from metadata.",""
"4","COMPASS: Synoptic","CB","MSM","SW","B","202209","202209_MSM_SW_B",2022,9,18,NA,NA,7.959,662.642577637166,"NPOC blanks out of range",0.6571,46.9132629384509,"TN blanks out of range","11/3/2022 10:08:45 PM","Standard Curve assessed manually on the instrument. Some sample IDs are missing from metadata.",""
"5","COMPASS: Synoptic","CB","MSM","SW","C","202209","202209_MSM_SW_C",2022,9,18,NA,NA,7.788,648.405628174174,"NPOC blanks out of range",0.6494,46.36352602683,"TN blanks out of range","11/3/2022 10:32:59 PM","Standard Curve assessed manually on the instrument. Some sample IDs are missing from metadata.",""
"6","COMPASS: Synoptic","CB","GCW","UP","LysA","20","202209_GCW_UP_LysA_20cm",NA,NA,NA,NA,NA,18.58,1546.91532761635,"NPOC blanks out of range",0.6581,46.9846573425575,"TN blanks out of range","11/3/2022 10:57:34 PM","Standard Curve assessed manually on the instrument. Some sample IDs are missing from metadata.",NA
"7","COMPASS: Synoptic","CB","GCW","TR","LysA","20","202209_GCW_TR_LysA_20cm",2022,9,19,NA,NA,44.74,3724.91882441096,"NPOC blanks out of range",2.044,145.930161993903,"TN blanks out of range","11/3/2022 11:25:58 PM","Standard Curve assessed manually on the instrument. Some sample IDs are missing from metadata.",""
"8","COMPASS: Synoptic","CB","GCW","TR","LysA","45","202209_GCW_TR_LysA_45cm",2022,9,19,NA,NA,10.28,855.882108067605,"NPOC blanks out of range",0.4421,31.5634660555306,"TN blanks out of range","11/3/2022 11:47:32 PM","Standard Curve assessed manually on the instrument. Some sample IDs are missing from metadata.",""
"9","COMPASS: Synoptic","CB","GCW","TR","LysB","10","202209_GCW_TR_LysB_10cm",2022,9,19,NA,NA,6.848,570.144034634918,"NPOC blanks out of range",1.129,80.6042822363583,"TN blanks out of range","11/4/2022 12:14:16 AM","Standard Curve assessed manually on the instrument. Some sample IDs are missing from metadata.",""
"10","COMPASS: Synoptic","CB","GCW","TR","LysB","20","202209_GCW_TR_LysB_20cm",2022,9,19,NA,NA,67.91,5653.98384813921,"NPOC blanks out of range",3.473,247.952765462243,"TN blanks out of range; value above cal curve","11/4/2022 12:39:11 AM","Standard Curve assessed manually on the instrument. Some sample IDs are missing from metadata.",""
"11","COMPASS: Synoptic","CB","GCW","TR","LysB","45","202209_GCW_TR_LysB_45cm",NA,NA,NA,NA,NA,61.31,5104.48755307635,"NPOC blanks out of range",1.767,126.153912056373,"TN blanks out of range","11/4/2022 1:01:34 AM","Standard Curve assessed manually on the instrument. Some sample IDs are missing from metadata.",NA
