[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	5/26/2026 9:15:29 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 1:43:54 PM	1	1	NPOC	1.613	0.06591	NPOC:0.04230mg/L TN:0.05769mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 1:48:24 PM	1	2	NPOC	1.857	0.1257	NPOC:0.04230mg/L TN:0.05769mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 1:52:14 PM	1	3	NPOC	1.584	0.05880	NPOC:0.04230mg/L TN:0.05769mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 1:56:02 PM	1	4	NPOC	1.353	0.00218	NPOC:0.04230mg/L TN:0.05769mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 2:00:12 PM	1	5	NPOC	1.223	-0.02968	NPOC:0.04230mg/L TN:0.05769mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 1:43:54 PM	1	1	TN	0.3762	0.02230	NPOC:0.04230mg/L TN:0.05769mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 1:48:24 PM	1	2	TN	0.8422	0.06137	NPOC:0.04230mg/L TN:0.05769mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 1:52:14 PM	1	3	TN	0.6594	0.04605	NPOC:0.04230mg/L TN:0.05769mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 1:56:02 PM	1	4	TN	0.4594	0.02928	NPOC:0.04230mg/L TN:0.05769mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 2:00:12 PM	1	5	TN	0.8934	0.06567	NPOC:0.04230mg/L TN:0.05769mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 2:08:53 PM	1	1	NPOC	2.472	0.2764	NPOC:-0.04912mg/L TN:0.01043mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 2:13:04 PM	1	2	NPOC	1.112	-0.05688	NPOC:-0.04912mg/L TN:0.01043mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 2:16:52 PM	1	3	NPOC	1.173	-0.04193	NPOC:-0.04912mg/L TN:0.01043mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 2:20:50 PM	1	4	NPOC	1.146	-0.04855	NPOC:-0.04912mg/L TN:0.01043mg/L	0	50	
