"","Site","Zone","min_npoc_mgL","max_npoc_mgL","mean_npoc_mgL","sd_npoc_mgL","min_tdn_mgL","max_tdn_mgL","mean_tdn_mgL","sd_tdn_mgL"
"1","SWH","UP",8.057,171.8,35.9931414141414,30.4268080055791,0.2183,4.84,0.989173737373737,0.74086825271074
"2","SWH","SWAMP",2.986,132.8,20.8843831775701,23.8996841242428,0.2421,4.827,1.29305046728972,0.898920516075519
"3","SWH","TR",4.724,57.23,17.8438796296296,8.2322927430823,0.2036,5.518,2.39554351851852,1.40844303069214
"4","SWH","WC",6.312,22.56,12.193078125,4.25133507062058,0.2231,1.444,0.5270546875,0.235127824020196
"5","SWH","SW",4.959,7.418,5.90609090909091,0.558853534235288,0.1492,0.6054,0.392954545454545,0.0944320956127639
"6","GCW","UP",7.732,49.11,24.3562,12.644248317362,0.00022,2.079,0.686032,0.57748768992748
"7","GCW","TR",-0.04784,115.7,21.1515033333333,25.297823531892,0.03846,3.604,0.928434583333333,0.812789617203533
"8","GCW","WC",-0.2012,50.18,13.27560125,8.71678475287609,-0.01174,5.942,1.81946325,1.45566382490382
"9","GCW","SW",-0.1982,8.815,5.7061037037037,1.75799201833348,-0.00266,0.9115,0.508001481481481,0.167028040660697
"10","MSM","UP",18.29,88.78,40.2641463414634,19.4009004914218,0.6721,4.067,1.5484756097561,0.90487683769132
"11","MSM","TR",11.93,127.2,32.4646478873239,16.790229712628,-0.01257,4.342,2.43336323943662,1.01834489233374
"12","MSM","WC",10.07,98.13,27.6810526315789,23.6612129628255,-0.00904,4.623,1.88141684210526,1.06921588640454
"13","MSM","SW",-0.1941,7.269,5.65149615384615,1.49583060016321,0.3267,0.7616,0.525638461538461,0.113779924685941
"14","GWI","UP",16.04,121.5,45.3113559322034,22.1573531390766,-0.00923,3.056,1.12379,0.567859308349621
"15","GWI","TR",-0.681,93.4,43.9995403225806,23.4947791460317,-0.00603,2.897,1.29751483870968,0.735222170255508
"16","GWI","WC",-0.5307,98.74,42.2344742424242,19.4929178931325,-0.00923,3.05,1.51661666666667,0.670440920477156
"17","GWI","SW",2.031,9.979,4.36185185185185,1.51685306077326,-0.00384,0.5004,0.323852962962963,0.143469465038995
