Abs1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.037,0.039,0.046,0.053,0.062,0.093,0.118,0.177,0.231,0.301,0.72,1.068
B,0.038,0.038,0.045,0.054,0.065,0.088,0.134,0.157,0.199,0.323,0.681,1.11
C,0.037,0.039,0.045,0.053,0.063,0.089,0.12,0.162,0.205,0.32,0.688,1.12
D,0.039,0.039,0.038,0.038,0.038,0.039,0.038,0.038,0.038,0.047,0.047,0.047
E,0.038,0.046,0.037,0.037,0.037,0.037,0.037,0.037,0.04,0.047,0.047,0.048
F,0.037,0.037,0.037,0.038,0.038,0.038,0.038,0.039,0.039,0.04,0.043,0.047
G,0.037,0.037,0.037,0.038,0.038,0.038,0.038,0.039,0.039,0.04,0.043,0.047
H,0.038,0.038,0.038,0.038,0.037,0.038,0.038,0.039,0.041,0.04,0.043,0.046
,,,,,,,,,,,,
Abs2,1,2,3,4,5,6,7,8,9,10,11,12
A,0.038,0.041,0.053,0.067,0.082,0.128,0.177,0.256,0.351,0.484,0.918,1.185
B,0.038,0.04,0.05,0.065,0.084,0.126,0.194,0.248,0.32,0.501,0.871,1.209
C,0.039,0.041,0.053,0.066,0.083,0.122,0.181,0.256,0.313,0.498,0.891,1.219
D,0.041,0.04,0.04,0.041,0.04,0.043,0.04,0.04,0.041,0.047,0.047,0.047
E,0.04,0.049,0.04,0.04,0.037,0.04,0.039,0.04,0.041,0.047,0.047,0.048
F,0.038,0.038,0.044,0.053,0.061,0.08,0.103,0.131,0.158,0.222,0.292,0.284
G,0.037,0.039,0.044,0.053,0.06,0.089,0.1,0.133,0.163,0.225,0.281,0.285
H,0.038,0.039,0.046,0.056,0.064,0.082,0.101,0.15,0.151,0.208,0.293,0.38
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,0 uM Fe_2,0.6 uM Fe_2 H,3 uM Fe_2 G,6 uM Fe_2 F,9 uM Fe_2 E,18 uM Fe_2 D,30 uM Fe_2 C,45 uM Fe_2 B,60 uM Fe_2 A,100 uM Fe_2 C,250 uM Fe_2 B,500 uM Fe_2 A
B,0 uM Fe_2,0.6 uM Fe_2 H,3 uM Fe_2 G,6 uM Fe_2 F,9 uM Fe_2 E,18 uM Fe_2 D,30 uM Fe_2 C,45 uM Fe_2 B,60 uM Fe_2 A,100 uM Fe_2 C,250 uM Fe_2 B,500 uM Fe_2 A
C,0 uM Fe_2,0.6 uM Fe_2 H,3 uM Fe_2 G,6 uM Fe_2 F,9 uM Fe_2 E,18 uM Fe_2 D,30 uM Fe_2 C,45 uM Fe_2 B,60 uM Fe_2 A,100 uM Fe_2 C,250 uM Fe_2 B,500 uM Fe_2 A
D,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,,,
E,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,,,
F,0 uM Fe_3,0.6 uM Fe_3 H,3 uM Fe_3 G,6 uM Fe_3 F,9 uM Fe_3 E,18 uM Fe_3 D,30 uM Fe_3 C,45 uM Fe_3 B,60 uM Fe_3 A,100 uM Fe_3 C,250 uM Fe_3 B,500 uM Fe_3 A
G,0 uM Fe_3,0.6 uM Fe_3 H,3 uM Fe_3 G,6 uM Fe_3 F,9 uM Fe_3 E,18 uM Fe_3 D,30 uM Fe_3 C,45 uM Fe_3 B,60 uM Fe_3 A,100 uM Fe_3 C,250 uM Fe_3 B,500 uM Fe_3 A
H,0 uM Fe_3,0.6 uM Fe_3 H,3 uM Fe_3 G,6 uM Fe_3 F,9 uM Fe_3 E,18 uM Fe_3 D,30 uM Fe_3 C,45 uM Fe_3 B,60 uM Fe_3 A,100 uM Fe_3 C,250 uM Fe_3 B,500 uM Fe_3 A
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,,,
E,1,1,1,1,1,1,1,1,1,,,
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
Conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0.6,3,6,9,18,30,45,60,100,250,500
B,0,0.6,3,6,9,18,30,45,60,100,250,500
C,0,0.6,3,6,9,18,30,45,60,100,250,500
D,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,
E,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,
F,0,0.6,3,6,9,18,30,45,60,100,250,500
G,0,0.6,3,6,9,18,30,45,60,100,250,500
H,0,0.6,3,6,9,18,30,45,60,100,250,500
