Abs1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.215,0.227,0.212,0.068,0.073,0.062,0.422,0.508,0.544,0.805,0.701,0.795
B,0.064,0.063,0.063,0.162,0.16,0.164,0.115,0.12,0.129,0.352,0.549,0.352
C,0.04,0.04,0.041,0.052,0.053,0.052,0.05,0.051,0.052,0.452,0.514,0.56
D,0.039,0.039,0.039,0.058,0.062,0.055,0.049,0.054,0.05,0.496,0.447,0.457
E,0.041,0.04,0.04,0.184,0.197,0.173,0.752,1.051,1.078,0.047,0.049,0.051
F,0.039,0.04,0.039,0.181,0.215,0.176,0.116,0.144,0.13,0.054,0.051,0.054
G,0.039,0.038,0.038,0.288,0.304,0.294,1.49,1.501,1.494,0.053,0.053,0.052
H,0.038,0.039,0.039,0.411,0.455,0.411,0.409,0.456,0.429,0.062,0.056,0.058
,,,,,,,,,,,,
Abs2,1,2,3,4,5,6,7,8,9,10,11,12
A,0.33,0.326,0.302,0.095,0.095,0.088,0.577,0.641,0.735,0.872,0.911,0.959
B,0.081,0.08,0.077,0.238,0.223,0.242,0.164,0.172,0.167,0.519,0.69,0.522
C,0.041,0.041,0.042,0.06,0.061,0.061,0.055,0.054,0.056,0.574,0.675,0.725
D,0.04,0.039,0.04,0.076,0.075,0.068,0.053,0.058,0.053,0.644,0.599,0.626
E,0.179,0.169,0.174,0.27,0.284,0.259,0.898,1.069,1.079,0.054,0.052,0.054
F,0.059,0.059,0.058,0.258,0.301,0.256,0.158,0.194,0.186,0.059,0.06,0.065
G,0.04,0.04,0.04,0.463,0.437,0.467,1.389,1.363,1.423,0.058,0.059,0.057
H,0.039,0.039,0.039,0.57,0.606,0.585,0.565,0.632,0.587,0.068,0.062,0.066
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,60 uM Fe_2 A,60 uM Fe_2 A,60 uM Fe_2 A,202509_GWI_UP_A_10,202509_GWI_UP_A_10,202509_GWI_UP_A_10,202509_GWI_TR_A_20,202509_GWI_TR_A_20,202509_GWI_TR_A_20,202509_GWI_WC_A_45,202509_GWI_WC_A_45,202509_GWI_WC_A_45
B,9 uM Fe_2 E,9 uM Fe_2 E,9 uM Fe_2 E,202509_GWI_UP_A_20,202509_GWI_UP_A_20,202509_GWI_UP_A_20,202509_GWI_TR_B_10,202509_GWI_TR_B_10,202509_GWI_TR_B_10,202509_GWI_WC_B_10,202509_GWI_WC_B_10,202509_GWI_WC_B_10
C,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,202509_GWI_UP_A_45,202509_GWI_UP_A_45,202509_GWI_UP_A_45,202509_GWI_TR_B_20,202509_GWI_TR_B_20,202509_GWI_TR_B_20,202509_GWI_WC_B_45,202509_GWI_WC_B_45,202509_GWI_WC_B_45
D,0.5 M HCl,0.5 M HCl,0.5 M HCl,202509_GWI_UP_B_10,202509_GWI_UP_B_10,202509_GWI_UP_B_10,202509_GWI_TR_B_20 dup,202509_GWI_TR_B_20 dup,202509_GWI_TR_B_20 dup,202509_GWI_WC_C_10,202509_GWI_WC_C_10,202509_GWI_WC_C_10
E,60 uM Fe_3 A,60 uM Fe_3 A,60 uM Fe_3 A,202509_GWI_UP_B_20,202509_GWI_UP_B_20,202509_GWI_UP_B_20,202509_GWI_TR_B_45,202509_GWI_TR_B_45,202509_GWI_TR_B_45,202509_GWI_SW_A,202509_GWI_SW_A,202509_GWI_SW_A
F,9 uM Fe_3 E,9 uM Fe_3 E,9 uM Fe_3 E,202509_GWI_UP_B_45,202509_GWI_UP_B_45,202509_GWI_UP_B_45,202509_GWI_SW_B spk,202509_GWI_SW_B spk,202509_GWI_SW_B spk,202509_GWI_SW_B,202509_GWI_SW_B,202509_GWI_SW_B
G,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,202509_GWI_UP_C_20,202509_GWI_UP_C_20,202509_GWI_UP_C_20,202509_GWI_TR_C_45,202509_GWI_TR_C_45,202509_GWI_TR_C_45,202509_SWH_UP_A_10,202509_SWH_UP_A_10,202509_SWH_UP_A_10
H,0.5 M HCl,0.5 M HCl,0.5 M HCl,202509_GWI_TR_A_10,202509_GWI_TR_A_10,202509_GWI_TR_A_10,202509_GWI_WC_A_10,202509_GWI_WC_A_10,202509_GWI_WC_A_10,202509_SWH_UP_A_20,202509_SWH_UP_A_20,202509_SWH_UP_A_20
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,8,8,8,8,8,8,8,8,8
B,1,1,1,8,8,8,8,8,8,8,8,8
C,1,1,1,8,8,8,8,8,8,8,8,8
D,1,1,1,8,8,8,8,8,8,8,8,8
E,1,1,1,8,8,8,8,8,8,1,1,1
F,1,1,1,8,8,8,1,1,1,1,1,1
G,1,1,1,8,8,8,8,8,8,8,8,8
H,1,1,1,8,8,8,8,8,8,8,8,8
