Date,Plate,Well Number,SampleID,dilution factor,Abs1,Abs2,Notes
20230110,Samples7,1,Stds,1,1.256,1.377,
20230110,Samples7,2,Stds,1,1.314,1.341,
20230110,Samples7,3,Stds,1,1.222,1.213,
20230110,Samples7,4,427,7,0.148,0.216,
20230110,Samples7,5,427,7,0.138,0.211,
20230110,Samples7,6,427,7,0.14,0.214,
20230110,Samples7,7,435,7,0.068,0.087,
20230110,Samples7,8,435,7,0.065,0.081,
20230110,Samples7,9,435,7,0.064,0.08,
20230110,Samples7,10,441,7,1.079,1.182,
20230110,Samples7,11,441,7,1.055,1.183,
20230110,Samples7,12,441,7,1.018,1.203,BR
20230110,Samples7,13,Stds,1,0.038,0.041,
20230110,Samples7,14,Stds,1,0.039,0.04,
20230110,Samples7,15,Stds,1,0.038,0.04,
20230110,Samples7,16,428,7,0.309,0.461,
20230110,Samples7,17,428,7,0.297,0.423,
20230110,Samples7,18,428,7,0.268,0.418,BR
20230110,Samples7,19,436,7,0.055,0.066,
20230110,Samples7,20,436,7,0.055,0.063,
20230110,Samples7,21,436,7,0.055,0.066,
20230110,Samples7,22,442,7,0.518,0.688,BR
20230110,Samples7,23,442,7,0.416,0.564,
20230110,Samples7,24,442,7,0.451,0.634,
20230110,Samples7,25,Stds,1,0.037,0.038,
20230110,Samples7,26,Stds,1,0.037,0.038,
20230110,Samples7,27,Stds,1,0.037,0.037,
20230110,Samples7,28,429,1,0.04,0.041,
20230110,Samples7,29,429,1,0.04,0.041,
20230110,Samples7,30,429,1,0.042,0.043,
20230110,Samples7,31,437,7,0.099,0.148,
20230110,Samples7,32,437,7,0.12,0.152,
20230110,Samples7,33,437,7,0.107,0.149,
20230110,Samples7,34,443,7,0.534,0.677,
20230110,Samples7,35,443,7,0.597,0.757,BR
20230110,Samples7,36,443,7,0.541,0.753,
20230110,Samples7,37,Stds,1,0.043,0.182,
20230110,Samples7,38,Stds,1,0.041,0.177,
20230110,Samples7,39,Stds,1,0.041,0.154,
20230110,Samples7,40,430,1,0.04,0.042,
20230110,Samples7,41,430,1,0.041,0.042,
20230110,Samples7,42,430,1,0.041,0.042,
20230110,Samples7,43,437d,7,0.115,0.154,
20230110,Samples7,44,437d,7,0.115,0.153,
20230110,Samples7,45,437d,7,0.12,0.156,
20230110,Samples7,46,444,7,1.142,1.253,
20230110,Samples7,47,444,7,1.067,1.248,
20230110,Samples7,48,444,7,1.075,1.191,BR
20230110,Samples7,49,423,7,0.691,0.856,
20230110,Samples7,50,423,7,0.669,0.78,
20230110,Samples7,51,423,7,0.759,0.898,BR
20230110,Samples7,52,431,1,0.037,0.04,
20230110,Samples7,53,431,1,0.038,0.039,
20230110,Samples7,54,431,1,0.037,0.04,
20230110,Samples7,55,438,7,0.086,0.112,
20230110,Samples7,56,438,7,0.074,0.101,BR
20230110,Samples7,57,438,7,0.083,0.11,
20230110,Samples7,58,445,7,0.408,0.555,
20230110,Samples7,59,445,7,0.474,0.68,
20230110,Samples7,60,445,7,0.525,0.719,BR
20230110,Samples7,61,424,7,0.212,0.3,
20230110,Samples7,62,424,7,0.199,0.287,
20230110,Samples7,63,424,7,0.195,0.266,BR
20230110,Samples7,64,432,7,0.047,0.051,
20230110,Samples7,65,432,7,0.048,0.053,
20230110,Samples7,66,432,7,0.048,0.052,
20230110,Samples7,67,438spk,7,0.117,0.169,
20230110,Samples7,68,438spk,7,0.134,0.166,
20230110,Samples7,69,438spk,7,0.133,0.179,
20230110,Samples7,70,446,7,0.889,1.026,
20230110,Samples7,71,446,7,0.92,1.027,
