Abs1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.231,0.23,0.278,0.615,0.568,0.473,0.043,0.044,0.043,0.22,0.198,0.186
B,0.06,0.068,0.068,1.194,1,1.029,0.043,0.042,0.042,0.254,0.239,0.301
C,0.039,0.041,0.039,0.679,0.594,0.641,0.15,0.152,0.135,0.103,0.1,0.094
D,0.038,0.038,0.039,0.675,0.585,0.567,0.155,0.151,0.139,0.174,0.17,0.167
E,0.04,0.041,0.04,0.831,0.799,0.742,0.456,0.436,0.452,0.098,0.091,0.088
F,0.039,0.039,0.039,0.642,0.783,0.639,0.344,0.345,0.303,0.683,0.66,0.65
G,0.038,0.038,0.038,0.099,0.093,0.091,0.118,0.114,0.105,0.417,0.391,0.386
H,0.038,0.039,0.038,0.049,0.05,0.05,0.065,0.062,0.06,0.476,0.279,0.441
,,,,,,,,,,,,
Abs2,1,2,3,4,5,6,7,8,9,10,11,12
A,0.305,0.312,0.365,0.708,0.607,0.549,0.046,0.046,0.046,0.246,0.217,0.203
B,0.077,0.081,0.082,1.516,1.474,1.37,0.044,0.044,0.044,0.354,0.315,0.295
C,0.041,0.041,0.041,0.84,0.768,0.697,0.163,0.155,0.137,0.113,0.104,0.094
D,0.038,0.039,0.039,0.758,0.637,0.626,0.161,0.153,0.152,0.191,0.176,0.162
E,0.193,0.165,0.172,1.36,1.16,1.061,0.796,0.707,0.626,0.104,0.096,0.089
F,0.057,0.06,0.058,0.93,0.829,0.756,0.575,0.695,0.573,0.713,0.667,0.653
G,0.04,0.04,0.04,0.12,0.112,0.105,0.127,0.117,0.108,0.424,0.399,0.389
H,0.039,0.039,0.039,0.054,0.053,0.054,0.068,0.065,0.062,0.456,0.394,0.413
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,60 uM Fe_2 A,60 uM Fe_2 A,60 uM Fe_2 A,202507_GW_WC_A_10,202507_GW_WC_A_10,202507_GW_WC_A_10,202507_GWI_SW_B,202507_GWI_SW_B,202507_GWI_SW_B,202507_SWH_UP_B_20,202507_SWH_UP_B_20,202507_SWH_UP_B_20
B,9 uM Fe_2 E,9 uM Fe_2 E,9 uM Fe_2 E,202507_GWI_WC_A_45,202507_GWI_WC_A_45,202507_GWI_WC_A_45,202507_GWI_SW_C,202507_GWI_SW_C,202507_GWI_SW_C,202507_SWH_UP_B_45,202507_SWH_UP_B_45,202507_SWH_UP_B_45
C,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,202507_GWI_WC_B_10,202507_GWI_WC_B_10,202507_GWI_WC_B_10,202507_SWH_UP_A_10,202507_SWH_UP_A_10,202507_SWH_UP_A_10,202507_SWH_UP_C_10,202507_SWH_UP_C_10,202507_SWH_UP_C_10
D,0.5 M HCl,0.5 M HCl,0.5 M HCl,202507_GWI_WC_B_20,202507_GWI_WC_B_20,202507_GWI_WC_B_20,202507_SWH_UP_A_10 dup,202507_SWH_UP_A_10 dup,202507_SWH_UP_A_10 dup,202507_SWH_UP_C_20,202507_SWH_UP_C_20,202507_SWH_UP_C_20
E,60 uM Fe_3 A,60 uM Fe_3 A,60 uM Fe_3 A,202507_GWI_WC_B_45,202507_GWI_WC_B_45,202507_GWI_WC_B_45,202507_SWH_UP_A_20,202507_SWH_UP_A_20,202507_SWH_UP_A_20,202507_SWH_UP_C_45,202507_SWH_UP_C_45,202507_SWH_UP_C_45
F,9 uM Fe_3 E,9 uM Fe_3 E,9 uM Fe_3 E,202507_GWI_WC_C_10,202507_GWI_WC_C_10,202507_GWI_WC_C_10,202507_SWH_UP_A_20 spk,202507_SWH_UP_A_20 spk,202507_SWH_UP_A_20 spk,202507_SWH_SWAMP_A_10,202507_SWH_SWAMP_A_10,202507_SWH_SWAMP_A_10
G,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,202507_GWI_WC_C_45,202507_GWI_WC_C_45,202507_GWI_WC_C_45,202507_SWH_UP_A_45,202507_SWH_UP_A_45,202507_SWH_UP_A_45,202507_SWH_SWAMP_A_20,202507_SWH_SWAMP_A_20,202507_SWH_SWAMP_A_20
H,0.5 M HCl,0.5 M HCl,0.5 M HCl,202507_GWI_SW_A,202507_GWI_SW_A,202507_GWI_SW_A,202507_SWH_UP_B_10,202507_SWH_UP_B_10,202507_SWH_UP_B_10,202507_SWH_SWAMP_A_45,202507_SWH_SWAMP_A_45,202507_SWH_SWAMP_A_45
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,8,8,8,1,1,1,8,8,8
B,1,1,1,8,8,8,1,1,1,8,8,8
C,1,1,1,8,8,8,8,8,8,8,8,8
D,1,1,1,8,8,8,8,8,8,8,8,8
E,1,1,1,8,8,8,8,8,8,8,8,8
F,1,1,1,8,8,8,8,8,8,1,1,1
G,1,1,1,8,8,8,8,8,8,1,1,1
H,1,1,1,1,1,1,8,8,8,1,1,1
