"Sample_Name","Run_Number","Conc","Absorbance","Dilution","Unit","Test","Run_Time","NOx_flag","NH3_flag","PO4_flag"
"MSM_202310_UP_RHZ_SF_2",45,0.00814,0.132113,0,"mg N/L","Vanadium NOx","2/1/2024 11:06","NOx reduction efficiency low","",""
"MSM_202310_UP_RHZ_SF_3",46,0.021081,0.142756,0,"mg N/L","Vanadium NOx","2/1/2024 11:08","NOx reduction efficiency low","",""
"MSM_202310_UP_RHZ_SF_4",47,0.008296,0.132242,0,"mg N/L","Vanadium NOx","2/1/2024 11:09","NOx reduction efficiency low","",""
"MSM_202310_UP_RHZ_SF_6",48,0.012604,0.135787,0,"mg N/L","Vanadium NOx","2/1/2024 11:10","NOx reduction efficiency low","",""
"MSM_202310_UP_RHZ_SF_7",49,0.000962,0.126202,0,"mg N/L","Vanadium NOx","2/1/2024 11:12","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_1",50,0.015938,0.138529,0,"mg N/L","Vanadium NOx","2/1/2024 11:13","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_2",55,0.004763,0.129333,0,"mg N/L","Vanadium NOx","2/1/2024 11:20","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_3",56,0.004227,0.128891,0,"mg N/L","Vanadium NOx","2/1/2024 11:21","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_4",57,0.010122,0.133745,0,"mg N/L","Vanadium NOx","2/1/2024 11:22","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_5",58,0.015835,0.138444,0,"mg N/L","Vanadium NOx","2/1/2024 11:24","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_6",59,0.010753,0.134264,0,"mg N/L","Vanadium NOx","2/1/2024 11:25","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_7",60,0.000971,0.126209,0,"mg N/L","Vanadium NOx","2/1/2024 11:26","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Col_1",61,0.01308,0.136178,0,"mg N/L","Vanadium NOx","2/1/2024 11:28","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Col_2",62,0.011057,0.134514,0,"mg N/L","Vanadium NOx","2/1/2024 11:29","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Col_3",63,0.014154,0.137062,0,"mg N/L","Vanadium NOx","2/1/2024 11:30","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Col_4",64,0.009187,0.132975,0,"mg N/L","Vanadium NOx","2/1/2024 11:32","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Col_5",69,0.016748,0.139194,0,"mg N/L","Vanadium NOx","2/1/2024 11:38","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_8",70,0.009783,0.133466,0,"mg N/L","Vanadium NOx","2/1/2024 11:40","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Sip_A",71,0.014665,0.137482,0,"mg N/L","Vanadium NOx","2/1/2024 11:41","NOx reduction efficiency low","",""
"MSM_202310_WC_RHZ_Sip_C",72,0.00837,0.132303,0,"mg N/L","Vanadium NOx","2/1/2024 11:42","NOx reduction efficiency low","",""
"MSM_202310_UP_RHZ_SF_2",43,-0.027423,0.037865,0,"mg N/L","Ammonia 2","2/1/2024 15:01","NOx reduction efficiency low","",""
"MSM_202310_UP_RHZ_SF_3",44,-0.002077,0.05068,0,"mg N/L","Ammonia 2","2/1/2024 15:04","NOx reduction efficiency low","",""
"MSM_202310_UP_RHZ_SF_4",47,-0.006595,0.048395,0,"mg N/L","Ammonia 2","2/1/2024 15:12","NOx reduction efficiency low","",""
"MSM_202310_UP_RHZ_SF_6",48,0.572483,0.341172,0,"mg N/L","Ammonia 2","2/1/2024 15:14","NOx reduction efficiency low","",""
"MSM_202310_UP_RHZ_SF_7",49,-0.030049,0.036537,0,"mg N/L","Ammonia 2","2/1/2024 15:17","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_1",51,1.439263,0.779409,0,"mg N/L","Ammonia 2","2/1/2024 15:22","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_2",53,0.323485,0.215281,0,"mg N/L","Ammonia 2","2/1/2024 15:28","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_3",54,0.898122,0.505813,0,"mg N/L","Ammonia 2","2/1/2024 15:30","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_4",55,0.274461,0.190495,0,"mg N/L","Ammonia 2","2/1/2024 15:33","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_5",56,1.312706,0.715423,0,"mg N/L","Ammonia 2","2/1/2024 15:36","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_6",59,2.307363,1.218313,0,"mg N/L","Ammonia 2","2/1/2024 15:44","NOx reduction efficiency low","",""
"MSM_202310_TR_RHZ_SF_7",60,0.579435,0.344687,0,"mg N/L","Ammonia 2","2/1/2024 15:46","NOx reduction efficiency low","",""
