"Project","Region","Year","Month","Day","Site","Zone","Sample_ID","Sampler_Type","Depth_cm","SO4_ppm","SO4_mM","SO4_conc_flag","Cl_ppm","Cl_mM","Cl_conc_flag","salinity","H2S_mean_uM","H2S_sd_uM","H2S_conc_flag","NH3_mgL","NH3_uM","NH3_conc_flag","PO4_mgL","PO4_uM","PO4_conc_flag","NOx_mgL","NOx_uM","NOx_conc_flag","FE_2_mean_uM","FE_2_sd_uM","FE_2_conc_flag","FE_3_mean_uM","FE_3_sd_uM","FE_3_conc_flag"
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_4","PPR",4,741.9526,23.1426263256394,NA,5993.3481,169.06482651622,NA,10.8300060167,2.04487158786325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_4","PPR",4,741.9526,23.1426263256394,NA,0,0,"bdl",2.6e-05,2.04487158786325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_4","PPR",4,741.9526,23.1426263256394,NA,0,0,"bdl",2.6e-05,2.04487158786325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_4","PPR",4,9.2977,0.290009357454772,NA,5993.3481,169.06482651622,NA,10.8300060167,2.04487158786325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_4","PPR",4,9.2977,0.290009357454772,NA,0,0,"bdl",2.6e-05,2.04487158786325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_4","PPR",4,9.2977,0.290009357454772,NA,0,0,"bdl",2.6e-05,2.04487158786325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_4","PPR",4,8.3717,0.261126013724267,NA,5993.3481,169.06482651622,NA,10.8300060167,2.04487158786325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_4","PPR",4,8.3717,0.261126013724267,NA,0,0,"bdl",2.6e-05,2.04487158786325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_4","PPR",4,8.3717,0.261126013724267,NA,0,0,"bdl",2.6e-05,2.04487158786325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_5","PPR",5,0,0,"bdl",0,0,"bdl",2.6e-05,4.71940552585082,0.369010943232112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_5","PPR",5,0,0,"bdl",6018.509,169.774583921016,NA,10.875471763,4.71940552585082,0.369010943232112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_5","PPR",5,0,0,"bdl",0,0,"bdl",2.6e-05,4.71940552585082,0.369010943232112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_5","PPR",5,783.8743,24.4502276980661,NA,0,0,"bdl",2.6e-05,4.71940552585082,0.369010943232112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_5","PPR",5,783.8743,24.4502276980661,NA,6018.509,169.774583921016,NA,10.875471763,4.71940552585082,0.369010943232112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_5","PPR",5,783.8743,24.4502276980661,NA,0,0,"bdl",2.6e-05,4.71940552585082,0.369010943232112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_5","PPR",5,10.5257,0.328312538989395,NA,0,0,"bdl",2.6e-05,4.71940552585082,0.369010943232112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_5","PPR",5,10.5257,0.328312538989395,NA,6018.509,169.774583921016,NA,10.875471763,4.71940552585082,0.369010943232112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_5","PPR",5,10.5257,0.328312538989395,NA,0,0,"bdl",2.6e-05,4.71940552585082,0.369010943232112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_6","PPR",6,5.2337,0.163247036805989,NA,0,0,"bdl",2.6e-05,0.577139548723725,0.322884575328098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_6","PPR",6,5.2337,0.163247036805989,NA,6565.8159,185.213424541608,NA,11.8644553313,0.577139548723725,0.322884575328098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_6","PPR",6,382.7082,11.9372489082969,NA,0,0,"bdl",2.6e-05,0.577139548723725,0.322884575328098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_6","PPR",6,382.7082,11.9372489082969,NA,6565.8159,185.213424541608,NA,11.8644553313,0.577139548723725,0.322884575328098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_7","PPR",7,386.7112,12.0621085464754,NA,6552.3956,184.834854724965,NA,11.8402048492,22.2669574604522,1.19573211898111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_7","PPR",7,386.7112,12.0621085464754,NA,81.2729,2.29260648801128,NA,0.1468861303,22.2669574604522,1.19573211898111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_7","PPR",7,12.7341,0.3971958827199,NA,6552.3956,184.834854724965,NA,11.8402048492,22.2669574604522,1.19573211898111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPASS: Synoptic","CB",2023,4,24,"MSM","TR","MSM_202304_TR_PPR_7","PPR",7,12.7341,0.3971958827199,NA,81.2729,2.29260648801128,NA,0.1468861303,22.2669574604522,1.19573211898111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
