"","Project","Region","Site","Zone","Replicate","Depth_cm","Sample_ID","Year","Month","Day","Time","Time_Zone","SO4_ppm","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_ppm","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","COMPASS: Synoptic","CB","202607","UP","A",10,"MSM_202607_UP_LYSA_10CM",2026,7,23,"1338","EDT",223.8338,6.98171553337492,"Within_Range","",2463.5325,69.4931593794076,"Within_Range","",4.4516292275,"2026-07-30","17_202607_MSM_TR_LysC_20cm was adl for SO4: 20.929540 vs 20 ppm top std",NA
"2","COMPASS: Synoptic","CB","202607","UP","A",20,"MSM_202607_UP_LYSA_20CM",2026,7,23,"1340","EDT",215.9884,6.73700561447286,"Within_Range","",2346.3478,66.1875260930888,"Within_Range","",4.2398764746,"2026-07-30","17_202607_MSM_TR_LysC_20cm was adl for SO4: 20.929540 vs 20 ppm top std",NA
"3","COMPASS: Synoptic","CB","202607","UP","A",45,"MSM_202607_UP_LYSA_45CM",2026,7,23,"1342","EDT",231.9536,7.23498440424205,"Within_Range","",2866.2807,80.8541805359661,"Within_Range","",5.1793952249,"2026-07-30","17_202607_MSM_TR_LysC_20cm was adl for SO4: 20.929540 vs 20 ppm top std",NA
"4","COMPASS: Synoptic","CB","202607","UP","B",10,"MSM_202607_UP_LYSB_10CM",2026,7,23,"1345","EDT",176.8475,5.51614160948222,"Within_Range","",1778.6922,50.1746741889986,"Within_Range","",3.2141228054,"2026-07-30","17_202607_MSM_TR_LysC_20cm was adl for SO4: 20.929540 vs 20 ppm top std",NA
"5","COMPASS: Synoptic","CB","202607","UP","B",20,"MSM_202607_UP_LYSB_20CM",2026,7,23,"1346","EDT",191.5271,5.9740205864005,"Within_Range","",2163.4269,61.027557122708,"Within_Range","",3.9093384083,"2026-07-30","17_202607_MSM_TR_LysC_20cm was adl for SO4: 20.929540 vs 20 ppm top std",NA
"6","COMPASS: Synoptic","CB","202607","UP","B",45,"MSM_202607_UP_LYSB_45CM",2026,7,23,"1347","EDT",319.8869,9.97775733000624,"Within_Range","",3395.4894,95.7824936530324,"Within_Range","",6.1356753458,"2026-07-30","17_202607_MSM_TR_LysC_20cm was adl for SO4: 20.929540 vs 20 ppm top std",NA
"7","COMPASS: Synoptic","CB","202607","UP","C",10,"MSM_202607_UP_LYSC_10CM",2026,7,23,"1349","EDT",207.4792,6.47159076731129,"Within_Range","",1904.654,53.727898448519,"Within_Range","",3.441735778,"2026-07-30","17_202607_MSM_TR_LysC_20cm was adl for SO4: 20.929540 vs 20 ppm top std",NA
"8","COMPASS: Synoptic","CB","202607","UP","C",20,"MSM_202607_UP_LYSC_20CM",2026,7,23,"1351","EDT",152.2377,4.74852464129757,"Within_Range","",1788.558,50.452976022567,"Within_Range","",3.231950306,"2026-07-30","17_202607_MSM_TR_LysC_20cm was adl for SO4: 20.929540 vs 20 ppm top std",NA
"9","COMPASS: Synoptic","CB","202607","UP","C",45,"MSM_202607_UP_LYSC_45CM",2026,7,23,"1352","EDT",225.5828,7.03626949469744,"Within_Range","",2542.6113,71.7238730606488,"Within_Range","",4.5945246191,"2026-07-30","17_202607_MSM_TR_LysC_20cm was adl for SO4: 20.929540 vs 20 ppm top std",NA
"10","COMPASS: Synoptic","CB","202607","TR","A",10,"MSM_202607_TR_LYSA_10CM",2026,7,23,"1244","EDT",922.7087,28.7806830941984,"Within_Range","",6956.1102,196.223136812412,"Within_Range","",12.5697171314,"2026-07-30","17_202607_MSM_TR_LysC_20cm was adl for SO4: 20.929540 vs 20 ppm top std",NA
