Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height	Type
No.	Selected Peak:		min	µg/mL	%	µS*min	µS	
			CD	CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	2.93	0.019	25.77	0.0226	0.04	BM 
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
6	Lab Blank	Unknown	3.177	0.0291	17.31	0.0346	0.05	 M 
7	Standard 1	Calibration Standard	3.177	5.1738	93.68	6.1514	61.69	BMB
8	Standard 2	Calibration Standard	3.177	10.2902	93.3	12.2346	120.99	BMB
9	Standard 3	Calibration Standard	3.167	20.0559	93.21	23.8457	232.17	BMB
10	Standard 4	Calibration Standard	3.16	100.7448	93.01	119.7817	1126.94	BMB
11	Standard 5	Calibration Standard	3.153	199.6031	92.93	237.3203	2193.84	BMB
12	Lab Blank	Unknown	3.18	0.0169	100	0.02	0.17	BMB
13	Lab Blank	Unknown	3.18	0.0228	19.52	0.0271	0.08	 M 
14	1_202607_MSM_UP_LysA_10cm	Unknown	3.16	2463.5325	82.88	58.5809	559.58	 MB
15	2_202607_MSM_UP_LysA_20cm	Unknown	3.17	2346.3478	82.23	55.7943	533.4	 MB
16	3_202607_MSM_UP_LysA_45cm	Unknown	3.16	2866.2807	84.56	68.1579	649.63	 MB
17	4_202607_MSM_UP_LysB_10cm	Unknown	3.163	1778.6922	78.66	42.2959	407.01	 MB
18	5_202607_MSM_UP_LysB_20cm	Unknown	3.163	2163.4269	80.96	51.4446	492.92	 MB
19	6_202607_MSM_UP_LysB_45cm	Unknown	3.167	3395.4894	85.12	80.7421	766.76	 MB
20	7_202607_MSM_UP_LysC_10cm	Unknown	3.163	1904.654	79.18	45.2912	434.7	 MB
21	8_202607_MSM_UP_LysC_20cm	Unknown	3.163	1788.558	79.3	42.5305	408.54	 MB
22	9_202607_MSM_UP_LysC_45cm	Unknown	3.16	2542.6113	83.52	60.4613	576.87	 MB
23	10_202607_MSM_TR_LysA_10cm	Unknown	3.153	6956.1102	87.27	165.4108	1570.3	 MB
24	10_202607_MSM_TR_LysA_10cm_dup	Unknown	3.16	6921.1207	87.25	164.5788	1561.54	 MB
25	11_202607_MSM_TR_LysA_20cm	Unknown	3.157	7374.0975	87.98	175.3503	1661.61	BMB
26	11_202607_MSM_TR_LysA_20cm_spk	Spiked	3.157	7292.528	87.25	173.4106	1643.67	BMB
27	Standard 1	Check Standard	3.177	5.2159	93.31	6.2015	61.79	BMB
28	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
