"","Analysis_No","Site","Date","Zone","Replicate","Depth","RHZ","RHZ_Rep","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"1","1","MSM","202311","UP","LysA","20cm","1","MSM","1_MSM_202311_UP_LysA_20cm",200.7171,2967.9003,6.26067061759201,83.7207418899859,5.3630218421
"2","10","MSM","202311","TR","LysA","45cm","10","MSM","10_MSM_202311_TR_LysA_45cm",532.8335,4351.4206,16.6198845913911,122.748112834979,7.8630430242
"3","100","GWI","202311","WC","LysA","10cm","100","GWI","100_GWI_202311_WC_LysA_10cm",1566.6521,12820.3289,48.8662538989395,361.645385049365,23.1663603223
"4","101","GWI","202311","WC","LysA","20cm","101","GWI","101_GWI_202311_WC_LysA_20cm",1317.4105,12162.4069,41.0920305676856,343.086231311707,21.9774952683
"5","102","GWI","202311","WC","LysA","45cm","102","GWI","102_GWI_202311_WC_LysA_45cm",1199.1944,10824.8116,37.4046912039925,305.35434696756,19.5604605612
"6","103","GWI","202311","WC","LysB","10cm","103","GWI","103_GWI_202311_WC_LysB_10cm",1592.8158,13596.1213,49.6823393636931,383.529514809591,24.5682171891
"7","104","GWI","202311","WC","LysB","20cm","104","GWI","104_GWI_202311_WC_LysB_20cm",1506.0823,13253.9769,46.9769900187149,373.87805077574,23.9499622583
"8","105","GWI","202311","WC","LysB","45cm","105","GWI","105_GWI_202311_WC_LysB_45cm",1472.7331,12262.5308,45.9367779164067,345.910600846262,22.1584191556
"9","106","GWI","202311","WC","LysC","10cm","106","GWI","106_GWI_202311_WC_LysC_10cm",1788.5839,14254.5661,55.788643169058,402.103416078984,25.7580269427
"10","107","GWI","202311","WC","LysC","20cm","107","GWI","107_GWI_202311_WC_LysC_20cm",1373.8994,13728.3106,42.8540049906425,387.258409026798,24.8070832542
"11","108","GWI","202311","SW","A","108","GWI","202311","108_GWI_202311_SW_A",1821.9714,13267.8279,56.8300499064254,374.268770098731,23.9749910153
"12","109","GWI","202311","SW","B","109","GWI","202311","109_GWI_202311_SW_B",1751.7279,12729.3102,54.6390486587648,359.077861777151,23.0018895314
"13","11","MSM","202311","TR","LysB","10cm","11","MSM","11_MSM_202311_TR_LysB_10cm",709.273,7178.4101,22.123300062383,202.493937940762,12.9714130507
"14","110","GWI","202311","SW","C","110","GWI","202311","110_GWI_202311_SW_C",1766.9177,12862.3136,55.1128415470992,362.829720733427,23.2422266752
"15","111","MSM","202311","UP","RHZ","SF","Tree","1","111_MSM_202311_UP_RHZ_SF_Tree_1",310.6557,2855.7307,9.68982220835933,80.5565782792666,5.1603313749
"16","112","MSM","202311","UP","RHZ","SF","Tree","2","112_MSM_202311_UP_RHZ_SF_Tree_2",222.9891,2507.489,6.95536805988771,70.7331170662905,4.531058623
"17","113","MSM","202311","UP","RHZ","SF","Tree","3","113_MSM_202311_UP_RHZ_SF_Tree_3",230.7505,2707.1076,7.19745789145352,76.3641071932299,4.8917694332
"18","114","MSM","202311","UP","RHZ","SF","Tree","4","114_MSM_202311_UP_RHZ_SF_Tree_4",415.0191,3913.3344,12.9450748596382,110.390251057828,7.0714212608
"19","115","MSM","202311","UP","RHZ","SF","Tree","6","115_MSM_202311_UP_RHZ_SF_Tree_6",306.2288,2729.4438,9.55174048658765,76.9941833568406,4.9321309466
"20","116","MSM","202311","UP","RHZ","SF","Tree","7","116_MSM_202311_UP_RHZ_SF_Tree_7",197.7201,2301.5302,6.16718964441672,64.9232778561354,4.1588910714
"21","117","MSM","202311","UP","RHZ","SF","Tree","8","117_MSM_202311_UP_RHZ_SF_Tree_8",346.258,3427.4975,10.8003119151591,96.6854019746121,6.1935139825
"22","118","MSM","202311","TR","RHZ","SF","Tree","1","118_MSM_202311_TR_RHZ_SF_Tree_1",1035.7337,9427.653,32.3061041796631,265.942256699577,17.035794971
"23","119","MSM","202311","TR","RHZ","SF","Tree","2","119_MSM_202311_TR_RHZ_SF_Tree_2",918.0897,8364.6001,28.6366094822208,235.954868829337,15.1148583807
"24","12","MSM","202311","TR","LysB","20cm","12","MSM","12_MSM_202311_TR_LysB_20cm",411.3711,6758.7082,12.831288209607,190.654674188999,12.2130117174
"25","120","MSM","202311","TR","RHZ","SF","Tree","3","120_MSM_202311_TR_RHZ_SF_Tree_3",858.8025,7845.4558,26.7873518402994,221.310459802539,14.1767646306
"26","121","MSM","202311","TR","RHZ","SF","Tree","4","121_MSM_202311_TR_RHZ_SF_Tree_4",961.2419,8335.1044,29.9825920149719,235.122832157969,15.0615596508
"27","122","MSM","202311","TR","RHZ","SF","Tree","5","122_MSM_202311_TR_RHZ_SF_Tree_5",957.6565,8969.0232,29.8707579538366,253.004885754584,16.2070509224
"28","123","MSM","202311","TR","RHZ","SF","Tree","6","123_MSM_202311_TR_RHZ_SF_Tree_6",846.1239,8435.6271,26.3918870867124,237.958451339915,15.2432041697
"29","124","MSM","202311","TR","RHZ","SF","Tree","7","124_MSM_202311_TR_RHZ_SF_Tree_7",934.8562,8609.4144,29.1595820336868,242.860772919605,15.5572378208
"30","125","MSM","202311","TR","RHZ","SF","Tree","8","125_MSM_202311_TR_RHZ_SF_Tree_8",739.2652,8305.8609,23.0588022457891,234.297909732017,15.0087166463
"31","126","MSM","202311","WC","RHZ","SF","Collar","1","126_MSM_202311_WC_RHZ_SF_Collar_1",1301.9603,10055.1296,40.6101154086089,283.642583921016,18.1696451872
"32","127","MSM","202311","WC","RHZ","SF","Collar","2","127_MSM_202311_WC_RHZ_SF_Collar_2",892.1185,9554.2978,27.8265283842795,269.514747531735,17.2646421246
"33","128","MSM","202311","WC","RHZ","SF","Collar","3","128_MSM_202311_WC_RHZ_SF_Collar_3",1198.4281,9574.2138,37.3807891453525,270.076552891396,17.3006303366
"34","129","MSM","202311","WC","RHZ","SF","Collar","4","129_MSM_202311_WC_RHZ_SF_Collar_4",1176.1658,9752.4868,36.6863942607611,275.105410437236,17.6227696476
"35","13","MSM","202311","TR","LysB","45cm","13","MSM","13_MSM_202311_TR_LysB_45cm",254.7283,4964.8593,7.94536182158453,140.052448519041,8.9715267551
