"","Project","Region","Site","Zone","Replicate","Depth_cm","Sample_ID","Year","Month","Day","Time","Time_Zone","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","COMPASS: Synoptic","CB","GCW","UP",NA,NA,"GCW_202309_UP_LYSA_20CM",NA,NA,NA,NA,NA,0.22601684341859,"Within_Range","SO4 dups cv out of range; SO4 dups out of range; SO4 spikes out of range",0.0948603667136812,"Within_Range","Cl dups cv out of range; Cl dups out of range",0.0061025796,"2025-05-29"," ",NA
"2","COMPASS: Synoptic","CB","GCW","TR",NA,NA,"GCW_202309_TR_LYSA_20CM",NA,NA,NA,NA,NA,0.254320024953213,"Within_Range","SO4 dups cv out of range; SO4 dups out of range; SO4 spikes out of range",1.78767559943582,"Within_Range","Cl dups cv out of range; Cl dups out of range",0.1145411917,"2025-05-29"," ",NA
"3","COMPASS: Synoptic","CB","GCW","TR",NA,NA,"GCW_202309_TR_LYSA_45CM",NA,NA,NA,NA,NA,0.490106051154086,"Within_Range","SO4 dups cv out of range; SO4 dups out of range; SO4 spikes out of range",1.68942172073343,"Within_Range","Cl dups cv out of range; Cl dups out of range",0.10824723,"2025-05-29"," ",NA
"4","COMPASS: Synoptic","CB","GCW","TR",NA,NA,"GCW_202309_TR_LYSB_10CM",NA,NA,NA,NA,NA,1.521890205864,"Within_Range","SO4 dups cv out of range; SO4 dups out of range; SO4 spikes out of range",5.67267700987306,"Within_Range","Cl dups cv out of range; Cl dups out of range",0.3634071948,"2025-05-29"," ",NA
"5","COMPASS: Synoptic","CB","GCW","TR",NA,NA,"GCW_202309_TR_LYSB_20CM",NA,NA,NA,NA,NA,0.77927011852776,"Within_Range","SO4 dups cv out of range; SO4 dups out of range; SO4 spikes out of range",7.55452468265162,"Within_Range","Cl dups cv out of range; Cl dups out of range",0.4839548753,"2025-05-29"," ",NA
"6","COMPASS: Synoptic","CB","GCW","TR",NA,NA,"GCW_202309_TR_LYSB_45CM",NA,NA,NA,NA,NA,0.34861821584529,"Within_Range","SO4 dups cv out of range; SO4 dups out of range; SO4 spikes out of range",5.10895063469676,"Within_Range","Cl dups cv out of range; Cl dups out of range",0.3272959261,"2025-05-29"," ",NA
"7","COMPASS: Synoptic","CB","GCW","TR",NA,NA,"GCW_202309_TR_LYSC_10CM",NA,NA,NA,NA,NA,0.967673112913288,"Within_Range","SO4 dups cv out of range; SO4 dups out of range; SO4 spikes out of range",2.56464880112835,"Within_Range","Cl dups cv out of range; Cl dups out of range",0.1643126576,"2025-05-29"," ",NA
"8","COMPASS: Synoptic","CB","GCW","TR",NA,NA,"GCW_202309_TR_LYSC_20CM",NA,NA,NA,NA,NA,0.785645664379289,"Within_Range","SO4 dups cv out of range; SO4 dups out of range; SO4 spikes out of range",2.37264598025388,"Within_Range","Cl dups cv out of range; Cl dups out of range",0.1520133121,"2025-05-29"," ",NA
"9","COMPASS: Synoptic","CB","GCW","TR",NA,NA,"GCW_202309_TR_LYSC_45CM",NA,NA,NA,NA,NA,0.450056144728634,"Within_Range","SO4 dups cv out of range; SO4 dups out of range; SO4 spikes out of range",3.78653032440056,"Within_Range","Cl dups cv out of range; Cl dups out of range",0.2425841275,"2025-05-29"," ",NA
"10","COMPASS: Synoptic","CB","GCW","WC",NA,NA,"GCW_202309_WC_LYSA_10CM",NA,NA,NA,NA,NA,18.0004616344354,"Within_Range","SO4 dups cv out of range; SO4 dups out of range; SO4 spikes out of range",196.862521861777,"Within_Range","Cl dups cv out of range; Cl dups out of range",12.6106749548,"2025-05-29"," ",NA
