Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	5.277	0.0049	12.84	0.01	0.04
2	Lab Blank	Unknown	5.353	0.0061	20.38	0.0125	0.03
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	5.37	0.0008	4.04	0.0017	0.01
5	Standard 1	Calibration Standard	5.367	5.0798	93.08	10.4323	53.48
6	Standard 2	Calibration Standard	5.347	10.2908	93.06	21.1338	108.16
7	Standard 3	Calibration Standard	5.343	20.3904	93.02	41.875	211.4
8	Standard 4	Calibration Standard	5.33	100.8779	92.96	207.1696	1033.18
9	Standard 5	Calibration Standard	5.327	199.5055	92.95	409.7177	2053.51
10	Lab Blank	Unknown	5.357	0.0679	70.67	0.1394	0.66
11	Lab Blank	Unknown	5.357	0.0178	31.48	0.0366	0.14
12	1_GCW_202405_UP_LysA_20cm	Unknown	5.283	2.0521	0.63	0.0843	0.47
13	2_GCW_202405_UP_LysB_10cm	Unknown	5.297	0.3926	0.11	0.0161	0.13
14	3_GCW_202405_UP_LysB_20cm	Unknown	5.287	1.1032	0.34	0.0453	0.22
15	4_GCW_202405_TR_LysA_20cm	Unknown	5.327	4.285	1.06	0.176	1.05
16	5_GCW_202405_TR_LysA_45cm	Unknown	5.303	2.4734	0.77	0.1016	0.59
17	6_GCW_202405_TR_LysB_10cm	Unknown	5.313	70.1889	17.82	2.8829	15.89
18	7_GCW_202405_TR_LysB_20cm	Unknown	5.317	6.3551	1.55	0.261	1.52
19	8_GCW_202405_TR_LysB_45cm	Unknown	5.297	16.9626	5.03	0.6967	3.92
20	9_GCW_202405_TR_LysC_10cm	Unknown	5.307	89.7046	22.08	3.6845	20.24
