Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.42	0.5014	6.81	0.4484	3.74
6	Standard 2	Calibration Standard	4.417	0.9789	6.79	0.8753	7.22
7	Standard 3	Calibration Standard	4.41	1.9729	6.87	1.7642	14.4
8	Standard 4	Calibration Standard	4.367	10.0366	6.95	8.9746	65.69
9	Standard 5	Calibration Standard	4.327	19.9854	6.96	17.8708	116.27
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	1_GCW_202509_TR_LysB_45cm	Unknown	4.417	8.2731	0.9	0.148	1.21
13	2_GCW_202509_TR_LysB_20cm	Unknown	4.417	28.8957	2.08	0.5168	4.25
14	3_GCW_202509_TR_LysB_10cm	Unknown	4.383	302.2874	6.87	5.4061	41.9
15	4_GCW_202509_TR_LysA_45cm	Unknown	4.42	15.5329	2.18	0.2778	2.29
16	5_GCW_202509_TR_LysA_20cm	Unknown	4.417	11.8962	1.56	0.2127	1.76
17	6_GCW_202509_WC_LysA_20cm	Unknown	4.41	137.8943	1.61	1.233	10.06
18	7_GCW_202509_WC_LysA_10cm	Unknown	4.41	31.6015	0.36	0.2826	2.34
19	8_GCW_202509_TR_LysC_45cm	Unknown	4.417	46.0185	3.04	0.823	6.74
20	9_GCW_202509_TR_LysC_20cm	Unknown	4.41	76.8295	3.37	1.374	11.2
