"","Year","Site","Zone","Depth_cm","min_Cl_mM","max_Cl_mM","mean_Cl_mM","sd_Cl_mM","min_SO4_mM","max_SO4_mM","mean_SO4_mM","sd_SO4_mM"
"1",2022,"GCW","SW",0,135.0245,227.8106,173.911108333333,36.5728090539073,19.4132,33.7543,25.4248166666667,5.48709316517711
"2",2022,"GCW","TR",10,0,24.1551,2.55065,6.25183835594349,0,2.7345,0.7626,0.763057785895265
"3",2022,"GCW","TR",20,0.1057,2.3971,0.781872222222222,0.631660996016763,0,1.1317,0.448372222222222,0.357811127972082
"4",2022,"GCW","TR",45,0.06,3.7801,1.37027619047619,1.53479048208697,0.0849,4.9516,0.933504761904762,1.36367424976649
"5",2022,"GCW","UP",10,0,2.7117,0.479777777777778,0.846210955935011,0.0439,0.7869,0.192633333333333,0.232693543099073
"6",2022,"GCW","UP",20,0.0345,0.7428,0.261635714285714,0.198733170964885,0.0456,0.7707,0.190557142857143,0.195547817147645
"7",2022,"GCW","UP",45,0.041,0.8216,0.337885714285714,0.316256085204019,0.0436,0.2748,0.203385714285714,0.0779062134571954
"8",2022,"GCW","WC",10,93.4752,136.7668,115.528666666667,21.6573136370449,8.9009,22.6711,14.5991666666667,7.18542428067636
"9",2022,"GCW","WC",20,115.6286,249.1716,160.5224,76.7745692538877,8.6632,16.2736,12.2713333333333,3.82047809224622
"10",2022,"GCW","WC",45,134.2545,140.5786,136.974566666667,3.2533994533923,0.7945,4.5384,2.4603,1.90569941753677
"11",2022,"GWI","SW",0,353.9812,436.5188,401.027666666667,22.1621599180115,53.482,82.957,62.463275,7.31748238027819
"12",2022,"GWI","TR",10,94.4672,411.2474,279.002682352941,102.590468766031,12.2784,58.9878,40.9851764705882,15.0813795944921
"13",2022,"GWI","TR",20,173.2714,381.184,265.92915,60.2543394263922,4.6854,50.4176,25.4353888888889,12.5209154682165
"14",2022,"GWI","TR",45,150.3007,319.1767,240.693533333333,39.8165251079912,19.7552,46.2402,30.8835666666667,7.68985143809684
"15",2022,"GWI","UP",10,34.4515,253.3531,123.57806969697,56.2960702556387,4.6398,35.654,17.4764878787879,8.30675649557175
"16",2022,"GWI","UP",20,89.6458,262.039,174.954040909091,54.2730397976719,13.1391,35.7126,23.8155363636364,6.96583769402985
"17",2022,"GWI","UP",45,120.8709,270.2913,160.425718181818,42.6401303728499,17.0215,36.9841,22.2709,5.57270685717453
"18",2022,"MSM","SW",0,105.0988,540.7399,351.142333333333,136.68904622556,15.669,80.1226,55.089975,21.6940490468584
"19",2022,"MSM","TR",10,30.4154,194.8654,113.743110526316,43.4672785773505,3.2316,35.2483,15.7742526315789,7.75359055960301
"20",2022,"MSM","TR",20,76.0021,193.951,110.990666666667,39.6073764211846,5.2882,41.3411,14.2895944444444,8.36428864451669
"21",2022,"MSM","TR",45,85.4332,206.3429,116.358123529412,30.6222409509112,8.9078,43.2932,17.2335117647059,8.22855711234375
"22",2022,"MSM","UP",10,18.4667,92.267,33.3656923076923,19.497224294305,2.6841,8.2548,3.78928461538462,1.42016402740796
"23",2022,"MSM","UP",20,22.4104,66.065,44.6272333333333,13.7572848976567,3.1211,8.6462,4.85839444444444,1.41278179301448
"24",2022,"MSM","UP",45,0.0589,100.203,68.6722058823529,21.0921658070441,0.3084,20.1925,8.70063529411765,4.53990471278599
"25",2023,"GCW","SW",0,79.5432,243.3492,172.537470833333,44.3824576142762,9.9698,37.0488,24.2067833333333,8.12659987099084
"26",2023,"GCW","TR",10,0.1098,62.4273,9.1088,18.2213423097359,0.2714,6.1214,1.4144,1.89584538625159
"27",2023,"GCW","TR",20,0.0447,26.0787,4.53444090909091,6.70936269308005,0.0552,1.5797,0.469195454545455,0.377681608762464
"28",2023,"GCW","TR",45,0.0537,14.5585,3.29735652173913,3.94956875250337,0.085,1.1042,0.473834782608696,0.258819364191771
"29",2023,"GCW","UP",10,0,1.692,0.285542857142857,0.624894481378371,0.1605,0.3837,0.254357142857143,0.0901212675074139
"30",2023,"GCW","UP",20,0,2.04,0.312514285714286,0.698390872326844,0.1525,0.3073,0.22285,0.052882143998198
"31",2023,"GCW","UP",45,0.0359,2.2745,1.1552,1.58292924036421,0.2127,0.4298,0.32125,0.153512882195599
"32",2023,"GCW","WC",10,116.8968,214.6113,172.050458333333,27.7986188091504,1.3885,27.3396,15.6398791666667,6.14098088128678
"33",2023,"GCW","WC",20,124.7911,220.2186,167.524725,27.1881249433941,4.2,27.4291,14.5635625,6.3501473620568
"34",2023,"GCW","WC",45,133.5388,243.7904,161.391170833333,28.5270506004767,5.291,26.4589,11.61025,4.87746868908899
"35",2023,"GWI","SW",0,3.0509,546.023,327.443575,158.893465611974,1.0623,71.5069,50.8808458333333,20.1001568050985
"36",2023,"GWI","TR",10,121.4197,339.9117,231.437308333333,62.151947529813,14.5157,49.2331,29.7696333333333,10.1187415517452
"37",2023,"GWI","TR",20,160.5401,336.1246,246.428704166667,38.661877294323,11.2198,40.4943,23.9546791666667,8.19287663570055
"38",2023,"GWI","TR",45,3.8417,401.7897,253.296845833333,71.9320177717217,0.3931,51.9531,30.8686541666667,9.48882455761509
"39",2023,"GWI","UP",10,0,224.9654,113.340315,56.271744492692,0,26.7163,15.2426,7.91207454770372
"40",2023,"GWI","UP",20,3.2415,203.4799,123.706569565217,40.6964264785054,12.0099,25.2261,17.6684782608696,4.0752976920774
"41",2023,"GWI","UP",45,68.0257,264.0729,148.8957375,45.8494142726364,0,32.5303,18.487675,7.23225996449243
