...1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.047,0.047,0.048,1.652,1.38,1.492,0.753,0.846,0.783,0.05,0.052,0.053
B,0.149,0.179,0.278,2.603,2.581,2.455,0.102,0.105,0.096,0.052,0.051,0.05
C,0.405,0.404,0.432,0.064,0.061,0.065,0.077,0.077,0.077,0.052,0.049,0.052
D,0.719,0.74,0.665,0.156,0.163,0.135,2.162,2.066,2.177,0.051,0.051,0.049
E,1.287,1.15,1.102,2.175,2.361,2.169,0.146,0.16,0.154,0.052,0.053,0.051
F,1.94,1.713,1.743,0.221,0.229,0.214,0.163,0.173,0.156,0.058,0.057,0.055
G,1.836,1.81,1.764,0.058,0.055,0.057,0.412,0.362,0.389,0.162,0.154,0.153
H,1.817,1.829,1.662,0.139,0.142,0.147,0.885,0.963,1.033,0.054,0.052,0.052
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,SWH_TR_LysB_20cm,SWH_TR_LysB_20cm,SWH_TR_LysB_20cm,SWH_WC_LysB_10cm,SWH_WC_LysB_10cm,SWH_WC_LysB_10cm,SWH_SW_A,SWH_SW_A,SWH_SW_A
B,Std 1,Std 1,Std 1,SWH_TR_LysB_45cm,SWH_TR_LysB_45cm,SWH_TR_LysB_45cm,SWH_WC_LysB_20cm,SWH_WC_LysB_20cm,SWH_WC_LysB_20cm,SWH_SW_B,SWH_SW_B,SWH_SW_B
C,Std 2,Std 2,Std 2,SWH_TR_LysC_10cm,SWH_TR_LysC_10cm,SWH_TR_LysC_10cm,SWH_WC_LysB_45cm,SWH_WC_LysB_45cm,SWH_WC_LysB_45cm,SWH_SW_C,SWH_SW_C,SWH_SW_C
D,Std 3,Std 3,Std 3,SWH_TR_LysC_20cm,SWH_TR_LysC_20cm,SWH_TR_LysC_20cm,SWH_WC_LysC_10cm,SWH_WC_LysC_10cm,SWH_WC_LysC_10cm,GWI_UP_LysA_20cm,GWI_UP_LysA_20cm,GWI_UP_LysA_20cm
E,Std 4,Std 4,Std 4,SWH_TR_LysC_45cm,SWH_TR_LysC_45cm,SWH_TR_LysC_45cm,SWH_WC_LysC_20cm,SWH_WC_LysC_20cm,SWH_WC_LysC_20cm,GWI_UP_LysA_45cm,GWI_UP_LysA_45cm,GWI_UP_LysA_45cm
F,Std 5,Std 5,Std 5,SWH_WC_LysA_10cm,SWH_WC_LysA_10cm,SWH_WC_LysA_10cm,SWH_WC_LysC_20cm_dup,SWH_WC_LysC_20cm_dup,SWH_WC_LysC_20cm_dup,GWI_UP_LysB_10cm,GWI_UP_LysB_10cm,GWI_UP_LysB_10cm
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,SWH_WC_LysA_20cm,SWH_WC_LysA_20cm,SWH_WC_LysA_20cm,SWH_WC_LysC_45cm,SWH_WC_LysC_45cm,SWH_WC_LysC_45cm,GWI_UP_LysB_20cm,GWI_UP_LysB_20cm,GWI_UP_LysB_20cm
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,SWH_WC_LysA_45cm,SWH_WC_LysA_45cm,SWH_WC_LysA_45cm,SWH_WC_LysC_45cm_spk,SWH_WC_LysC_45cm_spk,SWH_WC_LysC_45cm_spk,GWI_UP_LysC_10cm,GWI_UP_LysC_10cm,GWI_UP_LysC_10cm
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
