...1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.061,0.053,0.055,2.56,2.552,2.603,0.125,0.126,0.124,0.189,0.195,0.17
B,0.143,0.177,0.155,0.074,0.071,0.073,0.186,0.184,0.191,0.303,0.337,0.314
C,0.353,0.292,0.319,0.43,0.438,0.397,0.696,0.694,0.724,0.052,0.055,0.056
D,0.768,0.552,0.691,2.737,2.619,2.525,0.096,0.096,0.099,0.053,0.054,0.059
E,1.152,1.112,1.078,0.074,0.072,0.071,0.096,0.097,0.094,0.053,0.057,0.053
F,1.866,1.774,1.56,0.185,0.167,0.194,0.097,0.095,0.095,0.055,0.057,0.056
G,1.616,1.613,1.653,2.731,2.484,2.084,2.174,2.262,2.161,0.064,0.063,0.059
H,1.758,1.725,1.705,0.221,0.191,0.239,2.248,2.706,2.694,0.152,0.15,0.129
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,SWH_TR_LysA_45cm,SWH_TR_LysA_45cm,SWH_TR_LysA_45cm,SWH_WC_LysA_20cm,SWH_WC_LysA_20cm,SWH_WC_LysA_20cm,SWH_WC_LysC_20cm,SWH_WC_LysC_20cm,SWH_WC_LysC_20cm
B,Std 1,Std 1,Std 1,SWH_TR_LysB_10cm,SWH_TR_LysB_10cm,SWH_TR_LysB_10cm,SWH_WC_LysA_45cm,SWH_WC_LysA_45cm,SWH_WC_LysA_45cm,SWH_WC_LysC_45cm,SWH_WC_LysC_45cm,SWH_WC_LysC_45cm
C,Std 2,Std 2,Std 2,SWH_TR_LysB_20cm,SWH_TR_LysB_20cm,SWH_TR_LysB_20cm,SWH_WC_LysB_10cm,SWH_WC_LysB_10cm,SWH_WC_LysB_10cm,SWH_SW_A,SWH_SW_A,SWH_SW_A
D,Std 3,Std 3,Std 3,SWH_TR_LysB_45cm,SWH_TR_LysB_45cm,SWH_TR_LysB_45cm,SWH_WC_LysB_20cm,SWH_WC_LysB_20cm,SWH_WC_LysB_20cm,SWH_SW_B,SWH_SW_B,SWH_SW_B
E,Std 4,Std 4,Std 4,SWH_TR_LysC_10cm,SWH_TR_LysC_10cm,SWH_TR_LysC_10cm,SWH_WC_LysB_45cm,SWH_WC_LysB_45cm,SWH_WC_LysB_45cm,SWH_SW_C,SWH_SW_C,SWH_SW_C
F,Std 5,Std 5,Std 5,SWH_TR_LysC_20cm,SWH_TR_LysC_20cm,SWH_TR_LysC_20cm,SWH_WC_LysB_45cm_dup,SWH_WC_LysB_45cm_dup,SWH_WC_LysB_45cm_dup,GWI_UP_LysA_45cm,GWI_UP_LysA_45cm,GWI_UP_LysA_45cm
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,SWH_TR_LysC_45cm,SWH_TR_LysC_45cm,SWH_TR_LysC_45cm,SWH_WC_LysC_10cm,SWH_WC_LysC_10cm,SWH_WC_LysC_10cm,GWI_UP_LysB_10cm,GWI_UP_LysB_10cm,GWI_UP_LysB_10cm
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,SWH_WC_LysA_10cm,SWH_WC_LysA_10cm,SWH_WC_LysA_10cm,SWH_WC_LysC_10cm_spk,SWH_WC_LysC_10cm_spk,SWH_WC_LysC_10cm_spk,GWI_UP_LysB_20cm,GWI_UP_LysB_20cm,GWI_UP_LysB_20cm
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
