,1,2,3,4,5,6,7,8,9,10,11,12
A,0.053,0.053,0.056,0.059,0.057,0.061,0.33,0.32,0.351,0.209,0.191,0.208
B,0.145,0.121,0.132,0.058,0.057,0.054,0.056,0.057,0.059,0.245,0.299,0.266
C,0.385,0.213,0.253,0.34,0.416,0.425,0.328,0.363,0.326,0.069,0.067,0.069
D,0.387,0.479,0.379,0.057,0.057,0.061,0.397,0.565,0.393,0.111,0.191,0.102
E,0.732,0.682,0.64,0.07,0.071,0.07,0.127,0.15,0.145,0.183,0.195,0.172
F,1.135,1.463,1.147,0.407,0.374,0.389,0.17,0.24,0.228,0.059,0.058,0.052
G,1.106,1.175,1.105,0.058,0.056,0.059,0.23,0.286,0.242,0.07,0.069,0.066
H,1.131,1.156,1.103,0.061,0.061,0.057,0.118,0.121,0.121,0.68,0.67,0.599
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,1,1,1,9,9,9,14,14,14
B,Std 1,Std 1,Std 1,2,2,2,ChkStd 0,ChkStd 0,ChkStd 0,15,15,15
C,Std 2,Std 2,Std 2,3,3,3,9 Dup,9 Dup,9 Dup,16,16,16
D,Std 3,Std 3,Std 3,4,4,4,ChkStd 3,ChkStd 3,ChkStd 3,1 Spike,1 Spike,1 Spike
E,Std 4,Std 4,Std 4,5,5,5,10,10,10,10 Spike,10 Spike,10 Spike
F,Std 5,Std 5,Std 5,6,6,6,11,11,11,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,7,7,7,12,12,12,16 Dup,16 Dup,16 Dup
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,8,8,8,13,13,13,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
