,1,2,3,4,5,6,7,8,9,10,11,12
A,0.061,0.061,0.061,0.214,0.212,0.211,0.063,0.062,0.064,0.202,0.202,0.217
B,0.143,0.128,0.155,0.059,0.062,0.06,0.17,0.183,0.178,0.083,0.083,0.085
C,0.263,0.28,0.238,0.061,0.059,0.061,0.067,0.063,0.064,0.107,0.125,0.121
D,0.439,0.42,0.435,0.063,0.068,0.065,0.069,0.063,0.066,0.137,0.133,0.128
E,0.889,0.853,0.841,0.062,0.068,0.062,0.211,0.234,0.253,0.096,0.103,0.099
F,1.265,1.491,1.534,0.066,0.06,0.067,0.194,0.243,0.235,0.174,0.154,0.157
G,1.408,1.376,1.322,0.097,0.101,0.098,0.193,0.239,0.219,0.428,0.426,0.413
H,1.335,1.361,1.269,0.067,0.065,0.066,0.565,0.522,0.627,0.575,0.533,0.665
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,MSM_WC_C_20,MSM_WC_C_20,MSM_WC_C_20,SWH_UP_B_20,SWH_UP_B_20,SWH_UP_B_20,SWH_SWAMP_A_20,SWH_SWAMP_A_20,SWH_SWAMP_A_20
B,Std 1,Std 1,Std 1,MSM_SW_A,MSM_SW_A,MSM_SW_A,SWH_UP_B_45,SWH_UP_B_45,SWH_UP_B_45,SWH_SWAMP_A_45,SWH_SWAMP_A_45,SWH_SWAMP_A_45
C,Std 2,Std 2,Std 2,MSM_SW_B,MSM_SW_B,MSM_SW_B,SWH_UP_C_10,SWH_UP_C_10,SWH_UP_C_10,SWH_SWAMP_B_10,SWH_SWAMP_B_10,SWH_SWAMP_B_10
D,Std 3,Std 3,Std 3,MSM_SW_C,MSM_SW_C,MSM_SW_C,SWH_UP_C_20,SWH_UP_C_20,SWH_UP_C_20,SWH_SWAMP_B_20,SWH_SWAMP_B_20,SWH_SWAMP_B_20
E,Std 4,Std 4,Std 4,SWH_UP_A_10,SWH_UP_A_10,SWH_UP_A_10,SWH_UP_C_45,SWH_UP_C_45,SWH_UP_C_45,SWH_SWAMP_B_45,SWH_SWAMP_B_45,SWH_SWAMP_B_45
F,Std 5,Std 5,Std 5,SWH_UP_A_20,SWH_UP_A_20,SWH_UP_A_20,SWH_UP_C_45 Dup,SWH_UP_C_45 Dup,SWH_UP_C_45 Dup,SWH_SWAMP_C_10,SWH_SWAMP_C_10,SWH_SWAMP_C_10
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,SWH_UP_A_45,SWH_UP_A_45,SWH_UP_A_45,SWH_SWAMP_A_10,SWH_SWAMP_A_10,SWH_SWAMP_A_10,SWH_SWAMP_C_20,SWH_SWAMP_C_20,SWH_SWAMP_C_20
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,SWH_UP_B_10,SWH_UP_B_10,SWH_UP_B_10,SWH_SWAMP_A_10 Spike,SWH_SWAMP_A_10 Spike,SWH_SWAMP_A_10 Spike,SWH_SWAMP_C_45,SWH_SWAMP_C_45,SWH_SWAMP_C_45
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,50,50,50,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
