,1,2,3,4,5,6,7,8,9,10,11,12
A,0.112,0.045,0.046,0.049,0.049,0.05,0.052,0.054,0.051,2.957,3.06,2.973
B,0.165,0.145,0.158,0.047,0.048,0.056,0.06,0.059,0.057,2.994,3,2.887
C,0.35,0.338,0.344,0.052,0.047,0.044,0.05,0.05,0.051,0.11,0.115,0.113
D,0.614,0.593,0.603,0.05,0.051,0.047,0.075,0.075,0.079,1.058,1.008,0.964
E,1.04,1.067,1.076,0.05,0.046,0.046,0.4,0.369,0.375,2.859,2.866,2.912
F,1.765,1.772,1.721,0.048,0.048,0.047,0.062,0.063,0.065,0.531,0.547,0.556
G,1.768,1.622,1.652,0.077,0.052,0.051,0.049,0.054,0.049,0.341,0.32,0.343
H,1.754,1.729,1.667,0.071,0.093,0.065,2.734,2.795,2.829,2.971,2.801,2.731
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,1_Gcrew 202208_UP_LysA_20cm,1_Gcrew 202208_UP_LysA_20cm,1_Gcrew 202208_UP_LysA_20cm,9_Gcrew 202208_TR_LysA_45cm,9_Gcrew 202208_TR_LysA_45cm,9_Gcrew 202208_TR_LysA_45cm,16_Gcrew 202208_WC_SipA_20cm,16_Gcrew 202208_WC_SipA_20cm,16_Gcrew 202208_WC_SipA_20cm
B,Std 1,Std 1,Std 1,2_Gcrew 20208_UP_LysB_10cm,2_Gcrew 20208_UP_LysB_10cm,2_Gcrew 20208_UP_LysB_10cm,10_Gcrew 202208_TR_LysB_20cm,10_Gcrew 202208_TR_LysB_20cm,10_Gcrew 202208_TR_LysB_20cm,17_Gcrew_202208_WC_SipA_20cm,17_Gcrew_202208_WC_SipA_20cm,17_Gcrew_202208_WC_SipA_20cm
C,Std 2 ,Std 2,Std 2,3_Gcrew 202208_UP_LysB_20cm,3_Gcrew 202208_UP_LysB_20cm,3_Gcrew 202208_UP_LysB_20cm,11_Gcrew 202208_TR_LysB_45cm,11_Gcrew 202208_TR_LysB_45cm,11_Gcrew 202208_TR_LysB_45cm,18_Gcrew_202208_WC_SipB_10cm,18_Gcrew_202208_WC_SipB_10cm,18_Gcrew_202208_WC_SipB_10cm
D,Std 3,Std 3,Std 3,4_Gcrew_ 202208_UP__LysB_45cm,4_Gcrew_ 202208_UP__LysB_45cm,4_Gcrew_ 202208_UP__LysB_45cm,12_Gcrew 202208_TR_LysC_10cm,12_Gcrew 202208_TR_LysC_10cm,12_Gcrew 202208_TR_LysC_10cm,19_Gcrew_202208_WC_SipB_20cm,19_Gcrew_202208_WC_SipB_20cm,19_Gcrew_202208_WC_SipB_20cm
E,Std 4,Std 4,Std 4,5_Gcrew_202208_UP_LysC_20cm,5_Gcrew_202208_UP_LysC_20cm,5_Gcrew_202208_UP_LysC_20cm,12_Gcrew 202208_TR_LysC_10cm SPK,12_Gcrew 202208_TR_LysC_10cm SPK,12_Gcrew 202208_TR_LysC_10cm SPK,20_Gcrew_202208_WC_SipB_45cm,20_Gcrew_202208_WC_SipB_45cm,20_Gcrew_202208_WC_SipB_45cm
F,Std 5,Std 5,Std 5,6_Gcrew_202208_UP_LysC_45cm,6_Gcrew_202208_UP_LysC_45cm,6_Gcrew_202208_UP_LysC_45cm,13_Gcrew 202208-TR_lysC_20cm,13_Gcrew 202208-TR_lysC_20cm,13_Gcrew 202208-TR_lysC_20cm,21_Gcrew 202208_WC_SipC_10cm,21_Gcrew 202208_WC_SipC_10cm,21_Gcrew 202208_WC_SipC_10cm
G,MC: Spike 10ppt,MC: Spike 10ppt,MC: Spike 10ppt,7_Gcrew_202208_TR_LysA_10cm,7_Gcrew_202208_TR_LysA_10cm,7_Gcrew_202208_TR_LysA_10cm,14_Gcrew202208_TR_LysC_45cm,14_Gcrew202208_TR_LysC_45cm,14_Gcrew202208_TR_LysC_45cm,22_Gcrew 202208_WC_SipC_20cm,22_Gcrew 202208_WC_SipC_20cm,22_Gcrew 202208_WC_SipC_20cm
H,MC: Spike 20ppt,MC: Spike 20ppt,MC: Spike 20ppt,8_Gcrew 202208_TR_LysA_20cm,8_Gcrew 202208_TR_LysA_20cm,8_Gcrew 202208_TR_LysA_20cm,15_Gcrew 202208_WC_SipA_10cm,15_Gcrew 202208_WC_SipA_10cm,15_Gcrew 202208_WC_SipA_10cm,23_Gcrew 202208_WC_SipC_45cm,23_Gcrew 202208_WC_SipC_45cm,23_Gcrew 202208_WC_SipC_45cm
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
