,1,2,3,4,5,6,7,8,9,10,11,12
A,0.047,0.05,0.052,0.054,0.053,0.057,0.085,0.085,0.083,0.061,0.062,0.06
B,0.136,0.134,0.14,0.054,0.048,0.053,0.056,0.054,0.052,0.051,0.051,0.052
C,0.282,0.273,0.241,0.057,0.058,0.057,2.151,2.003,2.019,0.151,0.143,0.149
D,0.472,0.5,0.426,0.228,0.227,0.21,0.44,0.504,0.487,0.133,0.133,0.139
E,0.881,0.833,0.831,0.074,0.059,0.056,0.056,0.055,0.054,0.056,0.056,0.055
F,1.424,1.335,1.386,0.099,0.099,0.097,0.055,0.056,0.059,0.099,0.098,0.097
G,1.402,1.309,1.297,0.541,0.526,0.565,0.546,0.494,0.477,0.102,0.102,0.102
H,1.56,1.375,1.307,0.188,0.193,0.186,0.764,0.8,0.782,0.068,0.07,0.067
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,GWI_UP_LysA_20cm,,,GWI_TR_LysA_45cm,,,GWI_TR_LysC_45cm,,
B,Std 1,Std 1,Std 1,GWI_UP_LysA_45cm,,,GWI_TR_LysB_10cm,,,GWI_WC_LysA_10cm,,
C,Std 2,Std 2,Std 2,GWI_UP_LysB_10cm,,,GWI_TR_LysB_20cm_redo,,,GWI_WC_LysA_20cm,,
D,Std 3,Std 3,Std 3,GWI_UP_LysB_20cm,,,GWI_TR_LysB_45cm,,,GWI_WC_LysA_45cm,,
E,Std 4,Std 4,Std 4,GWI_UP_LysC_10cm,,,GWI_TR_LysC_10cm,,,GWI_WC_LysB_10cm,,
F,Std 5,Std 5,Std 5,GWI_UP_LysC_20cm,,,GWI_TR_LysC_10cm_dup,,,GWI_WC_LysB_20cm,,
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,GWI_TR_LysA_10cm,,,GWI_TR_LysC_20cm,,,GWI_WC_LysB_45cm,,
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,GWI_TR_LysA_20cm,,,GWI_TR_LysC_20cm_spk,,,GWI_WC_LysC_10cm,,
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
