Abs1,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.046,0.048,0.048,0.237,0.217,0.198,0.407,0.451,0.412,0.065,0.064,0.065,670
B,0.133,0.132,0.147,0.072,0.072,0.071,0.115,0.111,0.105,0.074,0.073,0.073,670
C,0.391,0.275,0.285,0.065,0.06,0.063,1.546,1.374,1.133,0.082,0.074,0.074,670
D,0.503,0.656,0.457,1.47,1.106,1.314,0.066,0.063,0.063,0.066,0.07,0.065,670
E,0.866,0.918,1.07,0.174,0.165,0.175,0.085,0.087,0.077,0.081,0.081,0.078,670
F,1.53,1.407,1.341,0.061,0.061,0.065,0.082,0.082,0.078,0.081,0.079,0.086,670
G,1.537,1.472,1.457,0.265,0.261,0.248,0.077,0.076,0.076,0.053,0.062,0.052,670
H,1.448,1.49,1.452,2.747,2.852,2.536,0.292,0.242,0.307,0.055,0.066,0.064,670
,,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12,
A,Std 0,Std 0,Std 0,GWI_UP_LysC_10cm,GWI_UP_LysC_10cm,GWI_UP_LysC_10cm,GWI_TR_LysB_45cm,GWI_TR_LysB_45cm,GWI_TR_LysB_45cm,GWI_WC_LysA_45cm,GWI_WC_LysA_45cm,GWI_WC_LysA_45cm,
B,Std 1,Std 1,Std 1,GWI_UP_LysC_20cm,GWI_UP_LysC_20cm,GWI_UP_LysC_20cm,GWI_TR_LysC_10cm,GWI_TR_LysC_10cm,GWI_TR_LysC_10cm,GWI_WC_LysB_10cm,GWI_WC_LysB_10cm,GWI_WC_LysB_10cm,
C,Std 2,Std 2,Std 2,GWI_UP_LysC_45cm,GWI_UP_LysC_45cm,GWI_UP_LysC_45cm,GWI_TR_LysC_20cm,GWI_TR_LysC_20cm,GWI_TR_LysC_20cm,GWI_WC_LysB_20cm,GWI_WC_LysB_20cm,GWI_WC_LysB_20cm,
D,Std 3,Std 3,Std 3,GWI_TR_LysA_10cm,GWI_TR_LysA_10cm,GWI_TR_LysA_10cm,GWI_TR_LysC_45cm,GWI_TR_LysC_45cm,GWI_TR_LysC_45cm,GWI_WC_LysB_45cm,GWI_WC_LysB_45cm,GWI_WC_LysB_45cm,
E,Std 4,Std 4,Std 4,GWI_TR_LysA_20cm,GWI_TR_LysA_20cm,GWI_TR_LysA_20cm,GWI_WC_LysA_10cm,GWI_WC_LysA_10cm,GWI_WC_LysA_10cm,GWI_WC_LysC_10cm,GWI_WC_LysC_10cm,GWI_WC_LysC_10cm,
F,Std 5,Std 5,Std 5,GWI_TR_LysA_45cm,GWI_TR_LysA_45cm,GWI_TR_LysA_45cm,GWI_WC_LysA_10cm_dup,GWI_WC_LysA_10cm_dup,GWI_WC_LysA_10cm_dup,GWI_WC_LysC_20cm,GWI_WC_LysC_20cm,GWI_WC_LysC_20cm,
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,GWI_TR_LysB_10cm,GWI_TR_LysB_10cm,GWI_TR_LysB_10cm,GWI_WC_LysA_20cm,GWI_WC_LysA_20cm,GWI_WC_LysA_20cm,GWI_SW_A,GWI_SW_A,GWI_SW_A,
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,GWI_TR_LysB_20cm_redo,GWI_TR_LysB_20cm_redo,GWI_TR_LysB_20cm_redo,GWI_WC_LysA_20cm_spk,GWI_WC_LysA_20cm_spk,GWI_WC_LysA_20cm_spk,GWI_SW_B,GWI_SW_B,GWI_SW_B,
,,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12,
A,1,1,1,1,1,1,1,1,1,1,1,1,
B,1,1,1,1,1,1,1,1,1,1,1,1,
C,1,1,1,1,1,1,1,1,1,1,1,1,
D,1,1,1,1,1,1,1,1,1,1,1,1,
E,1,1,1,1,1,1,1,1,1,1,1,1,
F,1,1,1,1,1,1,1,1,1,1,1,1,
G,1,1,1,1,1,1,1,1,1,1,1,1,
H,1,1,1,1,1,1,1,1,1,1,1,1,
