"","IDs","H2S_mean","H2S_sd","H2S_cv","H2S_flag","Dilution","H2S_cv_flag"
"1","Spike 1",2.05980038755652,0.36475824769936,17.7084269865616,"within range",1,"High CV"
"2","13",2.61863362018072,0.18237912384968,6.96466746795579,"within range",1,"within range"
"3","Dup 16",0,0,0,"bdl",1,"within range"
"4","Spike 10",1.32901846797102,0.303965206416133,22.8714057585813,"within range",1,"High CV"
"5","6",17.0623233249293,1.03348170181485,6.0570983337589,"within range",1,"within range"
"6","1",0,0,0,"bdl",1,"within range"
"7","10",0,0,0,"bdl",1,"within range"
"8","11",0,0,0,"bdl",1,"within range"
"9","12",0,0,0,"bdl",1,"within range"
"10","14",0,0,0,"bdl",1,"within range"
"11","15",0,0,0,"bdl",1,"within range"
"12","16",0,0,0,"bdl",1,"within range"
"13","2",0,0,0,"bdl",1,"within range"
"14","3",24.2698391200569,1.0953999616402,4.51342077803452,"within range",1,"within range"
"15","4",0,0,0,"bdl",1,"within range"
"16","5",0,0,0,"bdl",1,"within range"
"17","7",0,0,0,"bdl",1,"within range"
"18","8",0,0,0,"bdl",1,"within range"
"19","9",25.4734799287859,1.90764908438309,7.48876513815994,"within range",1,"within range"
"20","Dup 9",25.0436082113827,2.02054950282425,8.0681245520599,"within range",1,"within range"
"21","17",16.5380270796973,0.880775755654153,5.32576075374446,"within range",1,"within range"
"22","32",3.83285588533106,0.645902220813048,16.8517220614795,"within range",1,"High CV"
"23","Dup 32",6.07494491963099,0.293591918551386,4.83283260071466,"within range",1,"within range"
"24","Spike 26",36.1355460461708,2.99463756922413,8.28723486120244,"within range",1,"within range"
"25","29",9.35503813647719,0,0,"within range",1,"within range"
"26","Spike 17",18.0742732698658,0.234873534841109,1.29949089146893,"within range",1,"within range"
"27","18",15.5830632317548,0,0,"within range",1,"within range"
"28","23",22.8490925095786,2.64232726696247,11.5642547547776,"within range",1,"High CV"
"29","28",8.02639278281797,0.234873534841108,2.92626515044093,"within range",1,"within range"
"30","19",0,0,0,"bdl",1,"within range"
"31","20",21.645007657825,2.01362110055583,9.30293549620378,"within range",1,"within range"
"32","21",107.536393749587,5.6114215533091,5.21816043634127,"within range",1,"within range"
"33","22",0,0,0,"bdl",1,"within range"
"34","24",32.8554528293246,1.25388155541486,3.81635755236258,"within range",1,"within range"
"35","25",0,0,0,"bdl",1,"within range"
"36","26",29.1463178836926,2.78195449130498,9.54478882171761,"within range",1,"within range"
"37","27",106.761350626619,4.59581553536071,4.30475589563668,"within range",1,"within range"
"38","30",4.28957772565142,0.361964426775336,8.43822981947176,"within range",1,"within range"
"39","31",6.55934687148592,0.565243872672718,8.61738041526489,"within range",1,"within range"
"40","Dup 25",0,0,0,"bdl",1,"within range"
"41","34",8.41688164104436,0.988305085634979,11.7419387343595,"within range",1,"High CV"
"42","36",1.14075285608816,0,0,"within range",1,"within range"
"43","33",0,0,0,"bdl",1,"within range"
"44","35",1.08594209311298,0.0474675131373202,4.37109063534403,"within range",1,"within range"
"45","37",0,0,0,"bdl",1,"within range"
"46","38",0,0,0,"bdl",1,"within range"
"47","39",0,0,0,"bdl",1,"within range"
"48","Dup 35",1.33259052650132,0.0949350262746406,7.12409584089494,"within range",1,"within range"
"49","Spike 33",4.01831791228553,0.296434524531515,7.37707993748334,"within range",1,"within range"
"50","21",120.395285806021,4.8465702384139,4.02554818153146,"within range",5,"within range"
"51","27",190.00495478451,14.5938481232786,7.68077239871451,"within range",5,"within range"
