,1,2,3,4,5,6,7,8,9,10,11,12
A,0.056,0.061,0.058,0.06,0.057,0.06,0.953,0.937,0.937,0.266,0.236,0.195
B,0.107,0.114,0.131,0.059,0.06,0.061,0.057,0.056,0.056,1.275,1.46,1.577
C,0.201,0.279,0.204,0.295,0.256,0.288,1.104,0.972,0.91,0.446,0.453,0.428
D,0.367,0.327,0.463,0.058,0.058,0.06,0.501,0.42,0.402,0.088,0.237,0.088
E,0.69,0.67,0.568,0.063,0.065,0.063,0.063,0.063,0.065,0.115,0.114,0.128
F,0.993,1.094,1.051,0.272,0.244,0.239,0.156,0.153,0.146,0.057,0.058,0.053
G,1.087,1.093,1.072,0.105,0.101,0.105,0.485,0.541,0.536,0.449,0.509,0.513
H,1.094,1.163,1.012,0.159,0.15,0.147,0.073,0.073,0.073,0.607,0.706,0.663
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,67,67,67,75,75,75,80,80,80
B,Std 1,Std 1,Std 1,68,68,68,ChkStd 0,ChkStd 0,ChkStd 0,81,81,81
C,Std 2,Std 2,Std 2,69,69,69,75 Dup,75 Dup,75 Dup,82,82,82
D,Std 3,Std 3,Std 3,70,70,70,ChkStd 3,ChkStd 3,ChkStd 3,67 Spike,67 Spike,67 Spike
E,Std 4,Std 4,Std 4,71,71,71,76,76,76,76 Spike,76 Spike,76 Spike
F,Std 5,Std 5,Std 5,72,72,72,77,77,77,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,73,73,73,78,78,78,82 Dup,82 Dup,82 Dup
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,74,74,74,79,79,79,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
