"","IDs","H2S_mean","H2S_sd","H2S_cv","H2S_flag","Dilution","H2S_cv_flag"
"1","33 Spike",1.91342227181963,0,0,"Within_Range",1,"within range"
"2","34",20.5964904958251,0.554304513338399,2.69125710251829,"Within_Range",1,"within range"
"3","35",9.92667297861918,0.246357561483734,2.48177372231721,"Within_Range",1,"within range"
"4","37",167.491570028623,8.99205099415625,5.36865884809579,"adl",1,"within range"
"5","42 Spike",29.3936461630724,3.14105890891759,10.686183304689,"Within_Range",1,"High CV"
"6","44",41.4570724988522,2.46357561483733,5.94247366334305,"Within_Range",1,"within range"
"7","46",14.0639491587603,0.1847681711128,1.31377160872137,"Within_Range",1,"within range"
"8","47",0.69401455556752,0,0,"Within_Range",1,"within range"
"9","48",19.1593314016708,0.985430245934934,5.14334360252779,"Within_Range",1,"within range"
"10","39",15.7624099063971,0.985430245934932,6.25177401036245,"Within_Range",1,"within range"
"11","40",91.9753921721537,4.55761488744905,4.95525463910868,"Within_Range",1,"within range"
"12","43",95.7207158720709,5.91258147560961,6.17690896034634,"Within_Range",1,"within range"
"13","33",0,0,0,"bdl",1,"within range"
"14","36",49.3541891374373,1.70310719924572,3.45078549361444,"Within_Range",1,"within range"
"15","38",0,0,0,"bdl",1,"within range"
"16","41",0,0,0,"bdl",1,"within range"
"17","41 Dup",0,0,0,"bdl",1,"within range"
"18","42",33.8502910308034,3.0576304948064,9.0328041552848,"Within_Range",1,"within range"
"19","45",38.3504861741147,1.6556743356891,4.31721863491428,"Within_Range",1,"within range"
"20","48 Dup",18.3463929241694,0.785516277585732,4.28158429197762,"Within_Range",1,"within range"
