"","IDs","H2S_mean","H2S_sd","H2S_cv","H2S_flag","QAQC_flag","Dilution","H2S_cv_flag"
"1","102",14.2606851037084,0.815828337659054,5.72082148736954,"Within_Range","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",1,"Within range"
"2","47",5.07871425204274,0.0679856948049215,1.33863988858157,"Within_Range","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",1,"Within range"
"3","97",13.3953684789441,0.815828337659053,6.09037622922758,"Within_Range","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",1,"Within range"
"4","113",0.0791070867379,0.0679856948049213,85.9413455967271,"Within_Range","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",1,"High CV"
"5","113 Spike",25.0290697674419,1.63165667531811,6.51904641474367,"Within_Range","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",1,"Within range"
"6","115",0,0,0,"bdl","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",1,"Within range"
"7","47 Dup",6.80934750157134,0.339928474024606,4.99208586353044,"Within_Range","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",1,"Within range"
"8","49",0.896350565681961,0.135971389609843,15.1694431638354,"Within_Range","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",1,"High CV"
"9","114",0,0,0,"bdl","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",1,"Within range"
"10","15",1256.26080295412,41.9091969057032,3.33602678736399,"Within_Range","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",50,"Within range"
"11","16",2355.53340404358,111.952988599542,4.75276590887484,"Within_Range","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",50,"Within range"
"12","17",1409.89190498638,97.1426528803743,6.89007806462387,"Within_Range","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",250,"Within range"
"13","42",17.2412201445632,1.60595968864234,9.31465218341153,"Within_Range","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",1,"Within range"
"14","44",2.49878875968992,0.146865886410596,5.87748307419233,"Within_Range","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",1,"Within range"
"15","49 Spike",19.6128286716949,1.21743126015117,6.20732113929163,"Within_Range","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",1,"Within range"
"16","99",22.4010711292688,0.721631135682783,3.22141352758759,"Within_Range","Chk Std 4 out of range; MC 10 out of range; MC 20 out of range",1,"Within range"
