"","Site","Zone","Replicate","Depth","Depth1","Machine","User","Run_Date","Sample_Year","Sample_Month","Sample_ID","Dilution_Factor","CH4_Flag","CO2_Flag","CH4_Conc_ppm_dilcorr","CO2_Conc_ppm_dilcorr"
"1","GCW","TR","SgwA","10cm","10","Varian GC","Wegner",20241122,2024,"October","GCW_TR_SgwA_10cm",1,"Within Range","Within Range",2.41119589668307,8108.65717206539
"2","GCW","TR","SgwA","20cm","20","Varian GC","Wegner",20241122,2024,"October","GCW_TR_SgwA_20cm",1,"Within Range","Within Range",3.10870906589976,13794.0994529528
"3","GCW","TR","SgwA","45cm","45","Varian GC","Wegner",20241122,2024,"October","GCW_TR_SgwA_45cm",1,NA,NA,NA,NA
"4","GCW","TR","SgwB","10cm","10","Varian GC","Wegner",20241122,2024,"October","GCW_TR_SgwB_10cm",1,"Within Range","Within Range",4.01971341541409,14004.9951098744
"5","GCW","TR","SgwB","20cm","20","Varian GC","Wegner",20241122,2024,"October","GCW_TR_SgwB_20cm",1,"Within Range","Within Range",5.76023693112305,25176.1354247045
"6","GCW","TR","SgwB","45cm","45","Varian GC","Wegner",20241122,2024,"October","GCW_TR_SgwB_45cm",1,"Within Range","Within Range",218.529371000016,34779.1087115482
"7","GCW","TR","SgwC","10cm","10","Varian GC","Wegner",20241122,2024,"October","GCW_TR_SgwC_10cm",1,"Within Range","Within Range",12.450170481671,48567.8570604315
"8","GCW","TR","SgwC","20cm","20","Varian GC","Wegner",20241122,2024,"October","GCW_TR_SgwC_20cm",1,"Within Range","Within Range",7.331271265527,30879.5671314504
"9","GCW","TR","SgwC","45cm","45","Varian GC","Wegner",20241122,2024,"October","GCW_TR_SgwC_45cm",1,"Within Range","Within Range",16.2946414306948,37439.4857530715
"10","GCW","TR","ATM","GCW","0","Varian GC","Wegner",20241122,2024,"October","GCW_TR_ATM",1,"Within Range","Within Range",2.15859182839197,339.672050278181
"11","GCW","WC","SgwA","10cm","10","Varian GC","Wegner",20241122,2024,"October","GCW_WC_SgwA_10cm",1,"Needs Dilution","Needs Dilution",40203.320919535,88638.0378580515
"12","GCW","WC","SgwA","20cm","20","Varian GC","Wegner",20241122,2024,"October","GCW_WC_SgwA_20cm",1,"Needs Dilution","Needs Dilution",25241.5204715505,75143.1985592431
