Model:	LI-7810
SN:	TG10-01286
Software Version:	2.1.41
Timestamp:	2023-07-13 09:30:00
Timezone:	US/Eastern
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1689255000	959661960	10723	0	""	2023-07-13	09:30:00	21979.391	620.05164	2346.416	40.4693	55.001	25.7789	46.9155	0.00348438	12.143	54.5013	337	0.432507	15.3647	126
DATA	1689255001	959661960	10727	0	""	2023-07-13	09:30:01	21991.293	620.33948	2346.6663	40.4706	55.001	25.7814	46.9155	0.00347979	12.1422	54.5013	-52.25	0.432507	15.3643	118
DATA	1689255002	959661960	10731	0	""	2023-07-13	09:30:02	21997.793	620.31927	2346.4946	40.471	55.001	25.7785	46.9149	0.00348855	12.1425	54.5013	-110.5	0.431771	15.3647	 76
DATA	1689255003	959661960	10735	0	""	2023-07-13	09:30:03	22002.451	619.72913	2347.0898	40.4714	55.001	25.7756	46.9147	0.00348497	12.1424	54.5013	72.25	0.431771	15.3635	 72
DATA	1689255004	959661960	10739	0	""	2023-07-13	09:30:04	22007.873	620.74286	2346.5571	40.471	55.001	25.7752	46.9147	0.00349066	12.1423	54.5013	30.25	0.431771	15.3635	 10
DATA	1689255005	959661960	10743	0	""	2023-07-13	09:30:05	21999.377	620.53625	2346.1665	40.4714	55.001	25.7752	46.9147	0.00347845	12.1423	54.5005	45	0.431771	15.3639	192
DATA	1689255006	959661960	10747	0	""	2023-07-13	09:30:06	22005.832	620.8504	2346.6147	40.471	55.001	25.7744	46.9149	0.00348818	12.1424	54.5005	-70.5	0.431771	15.3612	207
DATA	1689255007	959299087	10751	0	""	2023-07-13	09:30:07	22011.631	620.71869	2346.1814	40.4714	55.001	25.7732	46.9149	0.00348762	12.1419	54.5005	-113.5	0.431771	15.3596	115
DATA	1689255008	959299087	10755	0	""	2023-07-13	09:30:08	22004.688	620.50977	2345.5925	40.4714	55.001	25.7695	46.9147	0.00348616	12.1422	54.5005	0.25	0.431771	15.36	186
DATA	1689255009	959299087	10759	0	""	2023-07-13	09:30:09	21987.301	620.60016	2344.0217	40.4714	55.001	25.7695	46.9147	0.0034781	12.1418	54.5005	-21	0.431771	15.3596	175
DATA	1689255010	959299087	10763	0	""	2023-07-13	09:30:10	21965.725	619.7243	2344.4541	40.471	55.001	25.7691	46.9147	0.00346529	12.1431	54.5005	-88.5	0.431771	15.3592	228
DATA	1689255011	959299087	10767	0	""	2023-07-13	09:30:11	21981.482	620.83862	2345.2063	40.471	55.001	25.767	46.9147	0.00348794	12.1426	54.5005	-11.25	0.431771	15.3592	 20
DATA	1689255012	959299087	10771	0	""	2023-07-13	09:30:12	21988.639	620.23474	2345.0376	40.4722	55.001	25.7654	46.9147	0.00348109	12.1427	54.5005	-38.75	0.431771	15.3592	132
