Species Key ,,,,,,,,,,,
Vegetation_Type,Genus_species,Genus,Species,Species_Code,Common_Name,Habitat,Native_Status,Notes,Info,,
Plant,Amaranthus cannabinus,Amaranthus,cannabinus,AMCA2,Tidalmarsh amaranth,Wetland,Native,Amaranthus cannabinus (L.) Sauer,https://plants.usda.gov/plant-profile/AMCA2,,
Plant,Arisaema triphyllum,Arisaema,triphyllum,ARTR,Jack-in-the-pulpit,Upland,Native,,https://www.inaturalist.org/taxa/50310-Arisaema-triphyllum,,
Plant,Aster spp,Aster,spp,Aster,Aster species,Versitile,Native,,,,
Plant,Boehmeria cylindrica,Boehmeria,cylindrica,BOCY,smallspike false nettle,Upland,Native,,https://plants.usda.gov/plant-profile/BOCY/characteristics,,
Plant,Botrychium virginianum,Botrychium,viginianum,BOVI,Virginia grape fern; rattlesnake fern,Upland,Native,,https://plants.usda.gov/plant-profile/BOVI,,
Sedge,Carex spp,Carex,spp,Carex,,Versitile,Native,,https://www.inaturalist.org/taxa/48571-Carex,,
Plant,Cicuta maculata,Cicuta,maculata,CIMA2,Spotted water hemlock,Wetland; Transition,Native,,https://plants.usda.gov/plant-profile/CIMA2,,
Grass,Cinna arundinacea,Cinna,arundinacea,CIAR2,Sweet woodreed,Transisiton,Native,GCW TR UNKN Tall Grass #1; Whigham helped ID; Verified in SERC herbarium,https://www.marylandbiodiversity.com/media/viewThumbnails.php?species=3957&showAll=1,,
Plant,Chimaphila maculata,Chimaphila,maculata,CHMA3,Spotted Wintergreen; Striped Prince's Pine,Upland,Native,,http://beta.floranorthamerica.org/Chimaphila_maculata,,
Plant,Clethra alnifolia,Clethra,alnifolia,CLAL3,coastal sweetpepperbush,Upland; Transiton,Native,no salt tolerance,https://plants.usda.gov/plant-profile/CLAL3,,
Plant,Cynoglossum virginianum,Cynoglossum,virginianum,CYVI,wild comfrey,Upland,Native,AKA Andersonglossum virginianum,https://plants.usda.gov/plant-profile/CYVI,,
Plant,Desmodium paniculatum,Desmodium,paniculatum,DEPA,panicledleaf ticktrefoil,Upland,Native,,https://plants.usda.gov/plant-profile/DEPA6,,
Grass,Distichlis spicata,Distichlis,spicata,DISP,"Seashore saltgrass, inland saltgrass, desert saltgrass",Wetland,Native,,https://nathistoc.bio.uci.edu/Plants%20of%20Upper%20Newport%20Bay%20(Robert%20De%20Ruff)/Poaceae/Distichlis%20spicata.htm,,
Plant,Eleocharis quadrangulata,Eleocharis,quadrangulata,ELQU,squarestem spikerush,Wetland,Native,no salt tolerance; Eleocharis quadrangulata (Michx.) Roem. & Schult.,https://plants.usda.gov/plant-profile/ELQU,,
Grass,Elymus canadensis,Elymus,canadensis,ELCA4,Canada Wildrye,Upland; Transition,Native,,https://plants.usda.gov/plant-profile/ELCA4,,
Plant,Eryngium aquaticum,Eryngium,aquaticum,ERAQ,rattlesnakemaster,,Native,,https://plants.usda.gov/plant-profile/ERAQ,,
Plant,Euonymus americanus,Euonymus,americanus,EUAM,bursting heart,Versitile,Native,,https://plants.usda.gov/plant-profile/EUAM9/characteristics,,
Plant,Galium circaezans,Galium,circaezans,GACI,licorice bedstraw,Upland,Native,,https://plants.usda.gov/plant-profile/GACI2,,
Plant,Galium triflorum,Galium,triflorum,GATR3,fragrant bedstraw,Upland,Native,,https://plants.usda.gov/plant-profile/GATR3,,
Grass,Grass - unkown,Grass,spp,Grass,Any grass that has not been identified or sampled,Versitile,,,,,
Plant,Hexastylis virginica,Hexastylis,virginica,HEVI3,Virginia heartleaf,Upland,Native,SWH UPCON UNK 8; AKA Asarum virginica,https://plants.usda.gov/plant-profile/HEVI3; https://identify.plantnet.org/k-northeastern-u-s-a/species/Asarum%20virginicum%20L./data,,
Plant,Hydrocotyle spp,Hydrocotyle,spp,Hydro,Pennywort,Transisiton,Native,MSM TR Unknown #3; Is either umbellata (umbel) or verticillata (whorled) - need to see flower,https://www.inaturalist.org/taxa/58792-Hydrocotyle-umbellata,,
Plant,Impatiens capensis,Impatiens,capensis,IMCA,jewelweed,Transisiton,Native,,https://plants.usda.gov/plant-profile/IMCA,,
Shrub,Itea virginica,Itea,virginica,ITVI,Virginia sweetspire,Transisiton,Native,White elongated clustered flower - Mid Spring,https://plants.usda.gov/plant-profile/ITVI,,
Plant,Iris virginica,Iris,viginica,IRVI,Virginia Iris,Transisiton,Native,,https://plants.usda.gov/plant-profile/IRVI,,
Rush,Juncus effusus,Juncus,effusus,JUEF,common rush,Wetland; Transition,Native,SWH large rush,https://plants.usda.gov/plant-profile/JUEF,,
Rush,Juncus roemerianus,Juncus,roemerianus,JURO,needlegrass rush,Wetland,Native,,https://plants.usda.gov/plant-profile/JURO,,
Plant,Kosteletzkya virginica,Kosteletzkya,virginica,KOVI,Virgnia salt marsh mallow,Wetland,Native,,,,
Plant,Lycopus rubellus,Lycopus,rubellus,LYRU,taperleaf water horehound,,Native,SWH TR 2023 UNK 6; active summer-fall; white flower,https://plants.usda.gov/plant-profile/LYRU,,
Plant,Lythrum lineare,Lythrum,lineare,LYLI2,,Wetland,Native,purple flower,https://plants.usda.gov/plant-profile/LYLI2,,
Plant,Medeola virginiana,Medeola,virginiana,MEVI,cucumber root; Indian cucumber,,Native,,https://plants.usda.gov/plant-profile/MEVI,,
Grass,Microstegium vimineum,Microstegium,vimineum,MIVI,Japanese stiltgrass,Transisiton,Introduced,,,,
Plant,Mitchella repens,Mitchella,repens,MIRE,Patridge Berry,Upland,Native,,https://www.wildflower.org/plants/result.php?id_plant=MIRE,,
Moss,Moss spp,Moss,spp,Moss,Unknown moss,,,,,,
Plant,Murdannia keisak,Murdannia,keisak,MUKE,Marsh dewflower,Transisiton,Introduced,"grass-like with purple flower; SWH UP (2023, now Swamp) UNK #5B",https://identify.plantnet.org/k-world-flora/species/Murdannia%20keisak%20(Hassk.)%20Hand.-Mazz./data,,
Plant,Onoclea sensibilis,Onoclea,sensibilis,ONSE,sensitive fern,Versitile,Native,opposite,https://plants.usda.gov/plant-profile/ONSE,,
Plant,Osmunda claytoniana,Osmunda,claytoniana,OSCL2,Interrupted fern,Versitile,Native,Not sure we have this,https://plants.usda.gov/plant-profile/OSCL2,,
Plant,Osmundastrum cinnamomeum,Osmundastrum,cinnamomeum,OSCI,Buckhorn fern,Upland,Native,SWH UKN fern,https://plants.usda.gov/plant-profile/OSCI; https://identify.plantnet.org/k-northeastern-u-s-a/species/Osmundastrum%20cinnamomeum%20(L.)%20C.Presl/data,,
Plant,Oxypolis rigidior,Oxypolis,rigidior,OXRI,cowbane,Transisiton,Native,SWH TR 2023 UNK 7; umbel,https://plants.usda.gov/plant-profile/OXRI,,
Grass,Panicum virgatum,Panicum,virgatum,PAVI2,switchgrass,Versitile,Native,MSM TR Unknown #1; grass,https://plants.usda.gov/plant-profile/PAVI2,,
Plant,Peltandra virginica,Peltandra,virginica,PEVI,green arrow arum,Wetland,Native,,https://plants.usda.gov/plant-profile/PEVI; https://www.vims.edu/cbnerr/_docs/stewardship_docs/sh_plan_3-08.pdf,,
Grass,Phragmites australis,Phragmites,australis,PHAU,Phrag,Versitile,Introduced,,https://www.invasive.org/alien/pubs/midatlantic/phau.htm,,
Plant,Pluchea odorata,Pluchea,odorata,PLOD,Marsh fleabane,Transisiton,Native,MSM TR Unknown #2; pluchea odorata - Marsh fleabane; camphor odor and distinct purple flower; high saline environments,"Mussleman, J. and David A. Knepper. ""Plants of the Chesapeake Bay."" The Johns Hopkins University Press, 2012, p. 37.; https://plants.usda.gov/plant-profile/PLOD",,
Plant,Polygonum spp,Polygonum,spp,Poly,smartweed species,Versitile,Native,,https://gobotany.nativeplanttrust.org/genus/polygonum/,,
Plant,Sanicula canadensis,Sanicula,canadensis,SACA15,blacksnakeroot,,Native,,https://plants.usda.gov/plant-profile/SACA15,,
Plant,Saururus cernuus,Saururus,cernuus,SACE,Lizards Tail,Transisiton,Native,,https://plants.usda.gov/plant-profile/SACE; https://www.wildflower.org/plants/result.php?id_plant=sace,,
Sedge,Schoenoplectus americanus,Schoenoplectus,americanus,SCAM6,bulrush; scirpus,Wetland,Native,,https://plants.usda.gov/plant-profile/SCAM6,,
Sedge,Schoenoplectus robustus,Schoenoplectus,robustus,SCRO5,Sedge; Sturdy bulrush,Wetland,Native,aka Bolboschoenus robustus (BORO5),https://plants.usda.gov/plant-profile/BORO5,,
Plant,Solidago spp,Solidago,spp,Solid,Golden rod,Versitile,Native,,,,
Grass,Spartina patens,Spartina,patens,SPPA,Saltmeadow cordgrass or salt hay,Wetland,Native,,https://gobotany.nativeplanttrust.org/species/spartina/patens/,,
Plant,Thalictrum pubescens,Thalictrum,pubescens,THPU2,King of the meadow - herbaceous,,Native,white flower,https://plants.usda.gov/plant-profile/THPU2,,
Plant,Typha latifolia,Typha,latifolia,TYLA,narrow-leaf cattail,Wetland,Native,,https://plants.usda.gov/plant-profile/TYLA,,
Plant,Viola spp,Viola,spp,Viola,Violet species,Upland,Native,,https://gobotany.nativeplanttrust.org/genus/viola/,,
Plant,Woodwardia areolata,Woodwardia,areolata,WOAR,netted chainfern,,Native,,https://plants.usda.gov/plant-profile/WOAR,,
Grass,Zizania aquatica,Zizania,aquatica,ZIAQ,wildrice,Wetland; Transition,Native,var. aquatica; no salt tolerance,https://www.vims.edu/cbnerr/_docs/stewardship_docs/sh_plan_3-08.pdf; https://plants.usda.gov/plant-profile/ZIAQA2,,
Vine,Amphicarpaea bracteata,Amphicarpaea,bracteata,AMBR2,American hog peanut,Upland; Transition,Native,,https://plants.usda.gov/plant-profile/AMBR2,,
Vine,Apios americana,Apios,americana,APAM,American groundnut,Upland; Transition,Native,,https://plants.usda.gov/plant-profile/APAM,,
Vine,Celastrus orbiculatus,Celastrus,orbiculatus,CEOR7,Oriental bittersweet,Upland; Transition,Introduced,,https://plants.usda.gov/plant-profile/CEOR7,,
Vine,Cuscuta cephalanthi,Cuscuta,cephalanthi,CUCE,buttonbush dodder,Versitile,Native,,https://plants.usda.gov/plant-profile/CUCE; https://www.vims.edu/cbnerr/_docs/stewardship_docs/sh_plan_3-08.pdf,,
Vine,Hedera helix,Hedera,helix,HEHE,English Ivy,Upland,Introduced,,https://plants.usda.gov/plant-profile/HEHE,,
Vine,Ipomoea spp,Ipomoea,spp,Ipomoea,morning glory species,Upland; Transition,Native,,https://www.britannica.com/plant/Ipomoea,,
Vine,Lonicera japonica,Lonicera,japonica,LOJA,Japanese honeysuckle,Upland; Transition,Introduced,,https://plants.usda.gov/plant-profile/LOJA,,
Vine,Mikania scandens,Mikania,scandens,MISC,Climbing Hempvine,Transition,Native,,https://www.wildflower.org/plants/result.php?id_plant=MISC,,
Vine,Parthenocissus quinquefolia,Parthenocissus,quinquefolia,PAQU,Virginia Creeper,Upland,Native,,https://plants.usda.gov/plant-profile/PAQU,,
Vine,Persicaria perfoliata,Persicaria,perfoliata,PEPE35,Asiadic tearthumb; mile-a-minute; AKA Polygonum perfoliatum,Versitile,Introduced,aka POPE10,https://plants.usda.gov/plant-profile/POPE10,,
Vine,Smilax rotundifolia,Smilax,rotundifolia,SMRO,Roundleaf greenbrier,Upland; Transition,Native,,https://plants.usda.gov/plant-profile/SMRO,https://www.britannica.com/plant/Smilax-plant-genus,
Vine,Smilax glauca,Smilax,glauca,SMGL,Cat greenbiar,Upland; Transition,Native,underside is white,https://plants.usda.gov/plant-profile/SMGL,,
Vine,Toxicodendron radicans,Toxicodendron,radicans,TORA2,Poison Ivy,Upland; Transition,Native,,https://www.vims.edu/cbnerr/_docs/stewardship_docs/sh_plan_3-08.pdf,,
Vine,Vitis spp,Vitis,spp,Vitis,grape vine species,Upland; Transition,Native,,https://gobotany.nativeplanttrust.org/genus/vitis/,,
,,,,,,,,,,,
Shrub,Alnus serrulata,Alnus,serrulata,ALSE2,Hazel Alder,Transition,Native,,https://plants.usda.gov/plant-profile/ALSE2,,
Shrub,Iva frutescens,Iva,frutescens,IVFR,Marsh elder; high-tide bush,Wetland,Native,,https://plants.usda.gov/plant-profile/IVFR,,
Shrub,Kalmia latifolia,Kalmia,latifolia,KALA,Mountain laurel,Upland,Native,On SWH NERR Site Profile,https://plants.usda.gov/plant-profile/KALA,,
Shrub,Lindera benzoin,Lindera,benzoin,LIBE3,Spicebush,Upland,Native,,https://plants.usda.gov/plant-profile/LIBE3,,
Shrub,Morella cerifera,Morella,cerifera,MOCE2,Wax Myrtle,Transition,Native,Formerly Myrica cerifera,"https://gnps.org/plant/wax-myrtle-morella-cerifera/#:~:text=The%20wax%20myrtle%20is%20a%20member%20of%20the%20bayberry%20family,to%203%2F4%20inches%20wide; https://plants.usda.gov/plant-profile/MOCE2",,
Shrub,Persea borbonia,Persea,borbonia,PEBO,Redbay; laurel tree,Upland,Native,Don't think we have this spp; should be PEPA37 according to NERR site profile,https://www.wildflower.org/plants/result.php?id_plant=pebo,,
Shrub,Persea palustris,Persea,palustris,PEPA37,Swamp Bay,Upland,Native,,https://plants.usda.gov/plant-profile/PEPA37,,
Shrub,Rosa palustris,Rosa,palustris,ROPA,swamp rose,Wetland,Native,,https://plants.usda.gov/plant-profile/ROPA,,
Shrub,Viburnum dentatum,Viburnum,dentatum,VIDE,southern arrow wood,,,,https://plants.usda.gov/plant-profile/VIDE,,
Shrub,Viburnum prunifolium,Viburnum,prunifolium,VIPR,,Upland,,,https://plants.usda.gov/plant-profile/VIPR,,
Shrub,Vaccinium spp,Vaccinium,spp,Vaccin,blueberry species,Upland,Native,,https://gobotany.nativeplanttrust.org/genus/vaccinium/,,
,,,,,,,,,,,
Tree,Acer rubrum,Acer,rubrum,ACRU,Red Maple,Upland,Native,,https://www.gardenia.net/plant/acer-rubrum,,
Tree,Acer negundo,Acer,negundo,ACNE2,Box Elder,Upland,Native,,https://plants.usda.gov/plant-profile/ACNE2,,
Tree,Carpinus caroliniana,Carpinus,caroliniana,CACA18,American hornbeam; musclewood,Upland,Native,,https://plants.usda.gov/plant-profile/CACA18,,
Tree,Carya spp,Carya,spp,Carya,Hickory species,Upland,Native,,https://gobotany.nativeplanttrust.org/genus/carya/,,
Tree,Cornus amomum,Cornus,amomum,COAM2,Silky Dogwood,Upland; Transition,Native,,https://www.vims.edu/cbnerr/_docs/stewardship_docs/sh_plan_3-08.pdf,,
Tree,Cornus florida,Cornus,florida,COFL2,Flowering Dogwood,Upland,Native,,https://plants.usda.gov/plant-profile/COFL2,,
Tree,Fagus grandifolia,Fagus,grandifolia,FAGR,American beech,Upland,Native,,https://plants.usda.gov/plant-profile/FAGR,,
Tree,Fraxinus spp,Fraxinus,spp,Ash,Ash species,Upland,Native,,https://gobotany.nativeplanttrust.org/genus/fraxinus/,,
Tree,Ilex opaca,Ilex,opaca,ILOP,American holly,Upland,Native,,https://plants.usda.gov/plant-profile/ILOP,,
Tree,Liquidambar styraciflua,Liquidambar,styraciflua,LIST2,Sweet gum,Upland,Native,,https://plants.ces.ncsu.edu/plants/liquidambar-styraciflua/; https://plants.usda.gov/plant-profile/LIST2,,
Tree,Liriodendron tulipifera,Liriodendron,tulipifera,LITU,Tulip Poplar,Upland,Native,,https://plants.usda.gov/plant-profile/LITU,,
Tree,Nyssa biflora,Nyssa,biflora,NYBI,swamp black gum,Upland,Native,,https://plants.usda.gov/plant-profile/NYBI; https://www.vims.edu/cbnerr/_docs/stewardship_docs/sh_plan_3-08.pdf,,
Tree,Nyssa sylvatica,Nyssa,sylvatica,NYSY,Black gum,Upland,Native,,https://plants.usda.gov/plant-profile/NYSY,,
Tree,Pinus taeda,Pinus,taeda,PITA,Loblolly pine,Upland,Native,,https://www.wildflower.org/plants/result.php?id_plant=PITA; https://plants.usda.gov/plant-profile/PITA,,
Tree,Prunus spp,Prunus,spp,Prunus,Cherry species,Upland,Native,,https://gobotany.nativeplanttrust.org/genus/prunus/,,
Tree,Quercus spp,Quercus,spp,Oak,Oak species,Upland,Native,,https://gobotany.nativeplanttrust.org/genus/quercus/,,
Tree,Quercus michauxii,Quercus,michauxii,QUMI,Swamp chestnut oak tree,Upland,Native,,https://plants.usda.gov/plant-profile/QUMI,,
Tree,Quercus palustris,Quercus,palustris,QUPA2,Pin oak,Upland,Native,,https://plants.usda.gov/plant-profile/QUPA2,,
Tree,Sassafras albidum,Sassafras,albidum,SAAL5,,Upland,Native,,https://plants.usda.gov/plant-profile/SAAL5,,
Tree,Ulmus spp,Ulmus,spp,Elm,Elm species,Upland,Native,,https://gobotany.nativeplanttrust.org/genus/ulmus/,,
,,,,,,,,,,,
,,,,,,,,,,,
Other Cover,,,,,,,,,,,
Other Cover,,,,bare ground,,,,,,,
Other Cover,,,,infrastructure,,,,soil flux collar; litter trap; boardwalk,,,
Other Cover,,,,basal tree stem cover,,,,,,,
Other Cover,,,,CWD,course woody debris,,,any large woody debris that is covering substantial ground in a way that prohibits recruitment of vegetation,,,
